ID,State,County,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year
42, California,Marin County,250666,44.3,89605,54605,17502,6.982199421,2011
41, California,Santa Clara County,1762754,36,89064,40698,160396,9.099170956,2011
39, California,Riverside County,2154844,33.5,58365,24516,301763,14.00393718,2011
33, California,Alpine County,1167,40.4,59018,29576,170,14.5672665,2011
37, California,Trinity County,13711,49.3,37672,22551,2366,17.25621764,2011
36, California,Santa Cruz County,259402,36.7,66030,32975,34382,13.25433112,2011
35, California,Mendocino County,87525,41.4,44527,23585,15298,17.47843473,2011
34, California,Madera County,149611,33.2,47724,18817,27777,18.56614821,2011
44, California,Siskiyou County,44687,46.9,37865,22335,8085,18.09251013,2011
38, California,Los Angeles County,9787747,34.6,56266,27954,1566066,16.00027054,2011
2, California,Yuba County,71817,31.7,46617,20046,14222,19.80311068,2011
53, California,Ventura County,815745,36.2,76728,32740,79964,9.802573108,2011
40, California,San Bernardino County,2023452,31.4,55853,21932,317059,15.66921281,2011
56, California,Tuolumne County,55736,47.2,47359,26084,6850,12.29008181,2011
1, California,Mariposa County,18290,48.4,49174,27209,2611,14.27556042,2011
46, California,Solano County,411620,36.7,69914,29367,42525,10.33113065,2011
31, California,Humboldt County,133585,37.3,40376,24209,23833,17.84107497,2011
57, California,Amador County,38244,48,56180,28030,3372,8.817069344,2011
47, California,Del Norte County,28561,38.9,37588,19247,5313,18.60228984,2011
48, California,Glenn County,28027,35.3,43239,21254,5166,18.43222607,2011
52, California,Kern County,829254,30.6,48021,20167,169635,20.45633787,2011
50, California,Plumas County,20192,49,44151,28104,2680,13.2725832,2011
51, California,San Luis Obispo County,267871,39.1,58630,30204,33330,12.44255631,2011
32, California,Nevada County,98392,47.3,58077,31607,10072,10.2366046,2011
54, California,Calaveras County,45794,49,55256,28667,3751,8.191029392,2011
55, California,San Mateo County,711622,39.2,87633,45346,48891,6.87036095,2011
49, California,Butte County,219309,37.2,42971,23431,42283,19.2801025,2011
37, California,Riverside County,2192982,33.7,57096,23863,335557,15.30140238,2012
45, California,Del Norte County,28496,38.8,39626,20197,5380,18.87984278,2012
39, California,Santa Clara County,1788393,36.2,90747,41041,171669,9.599064635,2012
50, California,Santa Barbara County,423594,33.6,62723,30114,62240,14.69331483,2012
48, California,Modoc County,9545,46.8,37482,20916,1829,19.16186485,2012
27, California,Tulare County,441877,29.7,43803,18021,108096,24.46291615,2012
