,Year,County,None,D0,D1,D2,D3,D4,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Poverty Rate
65,2010,Del Norte County,92.00076923076924,7.99923076923077,0.0,0.0,0.0,0.0,,,,,,,
66,2010,El Dorado County,89.39576923076922,10.604230769230771,1.2346153846153847,0.0,0.0,0.0,,,,,,,
67,2010,Fresno County,77.33326923076923,22.666730769230778,4.1875,0.0,0.0,0.0,,,,,,,
68,2010,Glenn County,63.63519230769232,36.36480769230769,7.6923076923076925,0.4317307692307693,0.0,0.0,,,,,,,
69,2010,Humboldt County,91.94288461538463,8.057115384615384,0.10807692307692308,0.0,0.0,0.0,,,,,,,
70,2010,Imperial County,84.10076923076923,15.89923076923077,5.432307692307693,0.0,0.0,0.0,,,,,,,
71,2010,Inyo County,79.11384615384617,20.88615384615384,3.11826923076923,0.5278846153846154,0.0,0.0,,,,,,,
72,2010,Kern County,76.75211538461538,23.247884615384613,7.6663461538461535,0.35884615384615376,0.0,0.0,,,,,,,
73,2010,Kings County,60.402307692307694,39.597692307692306,7.6923076923076925,0.0,0.0,0.0,,,,,,,
74,2010,Lake County,82.54692307692311,17.453076923076924,7.354615384615385,0.0,0.0,0.0,,,,,,,
75,2010,Lassen County,1.0842307692307693,98.91576923076923,92.42653846153843,37.586346153846144,0.0,0.0,,,,,,,
76,2010,Los Angeles County,89.32384615384616,10.676153846153845,6.4513461538461545,3.449423076923077,0.0,0.0,,,,,,,
77,2010,Madera County,86.17884615384611,13.821153846153845,2.6196153846153845,0.0,0.0,0.0,,,,,,,
78,2010,Marin County,92.3076923076923,7.6923076923076925,0.0,0.0,0.0,0.0,,,,,,,
79,2010,Mariposa County,97.70153846153845,2.2984615384615386,0.0,0.0,0.0,0.0,,,,,,,
80,2010,Mendocino County,90.43423076923075,9.56576923076923,1.5555769230769234,0.08307692307692306,0.0,0.0,,,,,,,
81,2010,Merced County,69.1061538461538,30.893846153846148,6.691538461538461,0.0,0.0,0.0,,,,,,,
82,2010,Modoc County,2.3698076923076923,97.63019230769231,85.33942307692307,33.089999999999996,0.0,0.0,,,,,,,
83,2010,Mono County,45.15615384615388,54.84384615384614,0.0,0.0,0.0,0.0,,,,,,,
84,2010,Monterey County,84.75576923076923,15.24423076923077,3.243846153846154,0.0,0.0,0.0,,,,,,,
85,2010,Napa County,79.7425,20.257499999999997,7.686153846153847,0.0,0.0,0.0,,,,,,,
86,2010,Nevada County,75.07038461538463,24.929615384615378,4.8725000000000005,0.0,0.0,0.0,,,,,,,
87,2010,Orange County,90.67076923076925,9.329230769230769,6.39173076923077,0.7142307692307692,0.0,0.0,,,,,,,
88,2010,Placer County,80.90750000000006,19.092500000000005,3.9026923076923077,0.0,0.0,0.0,,,,,,,
89,2010,Plumas County,26.55557692307692,73.44442307692304,49.349230769230765,4.005576923076924,0.0,0.0,,,,,,,
90,2010,Riverside County,85.48730769230771,14.512692307692308,7.6923076923076925,0.9076923076923076,0.0,0.0,,,,,,,
91,2010,Sacramento County,79.79903846153844,20.200961538461534,5.325000000000001,0.0,0.0,0.0,,,,,,,
92,2010,San Benito County,66.12884615384615,33.87115384615384,6.866923076923078,0.0,0.0,0.0,,,,,,,
93,2010,San Bernardino County,80.41884615384616,19.581153846153846,9.770192307692309,3.757307692307692,0.0,0.0,,,,,,,
94,2010,San Diego County,88.59173076923078,11.408269230769232,7.656538461538461,0.0,0.0,0.0,,,,,,,
95,2010,San Francisco County,92.3076923076923,7.6923076923076925,0.0,0.0,0.0,0.0,,,,,,,
96,2010,San Joaquin County,69.0790384615385,30.920961538461537,7.119230769230769,0.0,0.0,0.0,,,,,,,
97,2010,San Luis Obispo County,76.91230769230766,23.087692307692308,5.900961538461539,0.0,0.0,0.0,,,,,,,
98,2010,San Mateo County,92.3076923076923,7.6923076923076925,0.0,0.0,0.0,0.0,,,,,,,
99,2010,Santa Barbara County,90.80230769230766,9.197692307692307,2.7725,0.0,0.0,0.0,,,,,,,
100,2010,Santa Clara County,85.76115384615387,14.238846153846152,2.3207692307692307,0.0,0.0,0.0,,,,,,,
101,2010,Santa Cruz County,92.3076923076923,7.6923076923076925,0.0,0.0,0.0,0.0,,,,,,,
102,2010,Shasta County,66.40634615384617,33.59365384615384,19.007499999999997,5.007307692307692,0.0,0.0,,,,,,,
103,2010,Sierra County,36.309423076923096,63.690576923076904,20.67307692307692,0.0,0.0,0.0,,,,,,,
104,2010,Siskiyou County,38.223269230769255,61.776730769230795,40.027307692307694,7.712115384615387,0.0,0.0,,,,,,,
105,2010,Solano County,76.17634615384614,23.823653846153846,7.492307692307692,0.0,0.0,0.0,,,,,,,
106,2010,Sonoma County,92.3076923076923,7.6923076923076925,4.607692307692308,0.0,0.0,0.0,,,,,,,
107,2010,Stanislaus County,71.17980769230772,28.820192307692306,6.332307692307692,0.0,0.0,0.0,,,,,,,
108,2010,Sutter County,71.43384615384615,28.566153846153846,7.6923076923076925,0.0,0.0,0.0,,,,,,,
109,2010,Tehama County,61.88403846153848,38.11596153846154,17.202115384615382,6.818461538461539,0.0,0.0,,,,,,,
110,2010,Trinity County,89.09096153846153,10.909038461538461,5.395384615384615,0.4417307692307692,0.0,0.0,,,,,,,
111,2010,Tulare County,80.62461538461541,19.37538461538462,4.767307692307693,0.0,0.0,0.0,,,,,,,
112,2010,Tuolumne County,97.46249999999996,2.5375000000000005,0.0,0.0,0.0,0.0,,,,,,,
113,2010,Ventura County,90.38192307692307,9.618076923076924,5.460576923076923,0.004230769230769231,0.0,0.0,,,,,,,
114,2010,Yolo County,71.79826923076924,28.20173076923077,7.6923076923076925,0.0,0.0,0.0,,,,,,,
115,2010,Yuba County,87.19980769230764,12.800192307692306,6.401346153846154,0.0,0.0,0.0,,,,,,,
116,2011,Alameda County,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
117,2011,Alpine County,96.63961538461538,3.3603846153846155,0.0,0.0,0.0,0.0,,,,,,,
118,2011,Amador County,98.77884615384616,1.2211538461538463,0.0,0.0,0.0,0.0,,,,,,,
119,2011,Butte County,96.55096153846154,3.449038461538462,0.0,0.0,0.0,0.0,,,,,,,
120,2011,Calaveras County,99.19865384615385,0.8013461538461539,0.0,0.0,0.0,0.0,,,,,,,
121,2011,Colusa County,96.92346153846155,3.0765384615384614,0.0,0.0,0.0,0.0,,,,,,,
122,2011,Contra Costa County,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
123,2011,Del Norte County,96.15384615384616,3.8461538461538463,0.0,0.0,0.0,0.0,,,,,,,
124,2011,El Dorado County,97.26038461538461,2.7396153846153846,0.0,0.0,0.0,0.0,,,,,,,
125,2011,Fresno County,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
126,2011,Glenn County,96.25615384615382,3.743846153846154,0.0,0.0,0.0,0.0,,,,,,,
127,2011,Humboldt County,96.1130769230769,3.886923076923077,0.0,0.0,0.0,0.0,,,,,,,
128,2011,Imperial County,58.44961538461536,41.550384615384694,0.0,0.0,0.0,0.0,,,,,,,
129,2011,Inyo County,91.21134615384615,8.788653846153847,0.0,0.0,0.0,0.0,,,,,,,
130,2011,Kern County,99.97711538461537,0.022884615384615385,0.0,0.0,0.0,0.0,,,,,,,
131,2011,Kings County,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
132,2011,Lake County,96.15384615384616,3.8461538461538463,0.0,0.0,0.0,0.0,,,,,,,
133,2011,Lassen County,91.71673076923078,8.283269230769232,0.0,0.0,0.0,0.0,,,,,,,
134,2011,Los Angeles County,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
135,2011,Madera County,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
136,2011,Marin County,99.36038461538462,0.6396153846153846,0.0,0.0,0.0,0.0,,,,,,,
137,2011,Mariposa County,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
138,2011,Mendocino County,96.0576923076923,3.9423076923076925,0.0,0.0,0.0,0.0,,,,,,,
