,Year,County,None,D0,D1,D2,D3,D4,Unnamed: 0,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
172,2011,Yolo County,98.5076923076923,1.4923076923076921,0.0,0.0,0.0,0.0,30.0,198889.0,30.1,57920.0,28631.0,35674.0,17.936638024224568
173,2011,Yuba County,97.47,2.5300000000000002,0.0,0.0,0.0,0.0,2.0,71817.0,31.7,46617.0,20046.0,14222.0,19.803110684099863
174,2012,Alameda County,4.886037735849056,95.11396226415094,88.25207547169812,8.77811320754717,0.0,0.0,52.0,1515136.0,36.6,71516.0,35434.0,178897.0,11.807322906986569
175,2012,Alpine County,2.210943396226415,97.78905660377357,71.06698113207548,19.677735849056607,0.0,0.0,31.0,1197.0,43.2,59931.0,27135.0,159.0,13.283208020050125
176,2012,Amador County,15.65509433962264,84.34490566037735,49.00490566037736,6.595471698113209,0.0,0.0,22.0,37764.0,48.4,53462.0,26969.0,3502.0,9.273382056985488
177,2012,Butte County,20.235471698113216,79.7645283018868,48.50037735849057,4.727924528301887,0.0,0.0,14.0,220101.0,37.3,43339.0,23556.0,44156.0,20.061698947301466
178,2012,Calaveras County,8.18735849056604,91.81264150943399,62.63320754716982,6.582830188679245,0.0,0.0,19.0,45507.0,49.5,54686.0,28892.0,4643.0,10.202825938866548
179,2012,Colusa County,5.939056603773585,94.0609433962264,84.84999999999998,9.656981132075472,0.0,0.0,55.0,21329.0,33.9,52165.0,21601.0,3206.0,15.031178208073516
180,2012,Contra Costa County,5.1456603773584915,94.8543396226415,77.06754716981135,7.153962264150944,0.0,0.0,3.0,1052047.0,38.5,78187.0,38106.0,106304.0,10.104491529370836
181,2012,Del Norte County,91.07962264150946,8.920377358490567,0.0,0.0,0.0,0.0,45.0,28496.0,38.8,39626.0,20197.0,5380.0,18.879842784952274
182,2012,El Dorado County,25.863207547169814,74.13679245283016,33.27943396226415,6.852075471698114,0.0,0.0,11.0,180441.0,43.5,70117.0,34571.0,14439.0,8.002061615708179
183,2012,Fresno County,0.3735849056603774,99.62641509433959,95.02415094339624,15.05490566037736,0.0,0.0,57.0,930517.0,30.7,45741.0,20391.0,226967.0,24.391494190863792
184,2012,Glenn County,5.834150943396226,94.16584905660378,86.17075471698114,9.181320754716982,0.0,0.0,46.0,28078.0,36.5,42641.0,21689.0,5383.0,19.17159341833464
185,2012,Humboldt County,78.40339622641511,21.596603773584903,0.6045283018867924,0.0,0.0,0.0,29.0,134317.0,37.5,40830.0,23884.0,25729.0,19.15543080920509
186,2012,Imperial County,5.326981132075471,94.67301886792451,75.3098113207547,0.0,0.0,0.0,51.0,173487.0,31.8,41255.0,16667.0,37544.0,21.640814585530904
187,2012,Inyo County,2.3518867924528304,97.64811320754718,85.77132075471704,60.78207547169812,0.0,0.0,49.0,18474.0,45.7,45000.0,27323.0,2035.0,11.015481216845298
188,2012,Kern County,8.03811320754717,91.96188679245284,68.25698113207551,15.462075471698114,0.0,0.0,17.0,839153.0,30.7,47727.0,20216.0,180779.0,21.543032081158024
189,2012,Kings County,4.4139622641509435,95.58603773584906,88.32509433962268,11.893584905660378,0.0,0.0,56.0,151982.0,31.2,48761.0,18566.0,27679.0,18.212025108236503
190,2012,Lake County,7.545660377358491,92.45433962264151,27.707924528301888,1.4132075471698113,0.0,0.0,47.0,64360.0,44.8,38147.0,21845.0,15036.0,23.362336855189557
191,2012,Lassen County,0.31358490566037733,99.68641509433962,96.61603773584905,71.00622641509433,3.0830188679245283,0.0,4.0,34628.0,37.4,51921.0,19924.0,3724.0,10.754302876285088
192,2012,Los Angeles County,12.866037735849057,87.13396226415098,24.138679245283033,0.5320754716981132,0.0,0.0,36.0,9840024.0,34.8,56241.0,27900.0,1658231.0,16.851899954715556
193,2012,Madera County,0.028867924528301888,99.9711320754717,93.25037735849057,13.21735849056604,0.0,0.0,32.0,150615.0,33.2,47937.0,18474.0,29900.0,19.851940377784413
194,2012,Marin County,7.547169811320755,92.45283018867924,28.30188679245283,0.12452830188679245,0.0,0.0,40.0,252759.0,44.6,90962.0,55695.0,18371.0,7.268188274205864
195,2012,Mariposa County,2.0379245283018865,97.96207547169811,86.57150943396226,12.954339622641513,0.0,0.0,1.0,18193.0,49.4,52584.0,27670.0,2647.0,14.549552025504315
196,2012,Mendocino County,50.63622641509433,49.36377358490566,16.57547169811321,0.0,0.0,0.0,33.0,87577.0,41.7,43721.0,23179.0,16689.0,19.056373248684014
197,2012,Merced County,0.0,100.0,98.10132075471698,9.523207547169811,0.0,0.0,0.0,256398.0,29.7,43565.0,18343.0,61914.0,24.147614255961443
198,2012,Modoc County,0.0,100.0,99.9477358490566,80.25716981132072,5.033584905660377,0.0,48.0,9545.0,46.8,37482.0,20916.0,1829.0,19.161864850707172
199,2012,Mono County,0.0,100.0,93.1454716981132,51.797169811320735,5.233962264150943,0.0,8.0,14181.0,37.1,61868.0,27135.0,1333.0,9.399901276355687
200,2012,Monterey County,1.7277358490566037,98.27226415094344,87.1803773584906,8.824905660377357,0.0,0.0,12.0,416199.0,32.9,60143.0,24995.0,64123.0,15.4068126064695
201,2012,Napa County,7.547169811320755,92.45283018867924,27.601509433962267,1.6986792452830188,0.0,0.0,53.0,136644.0,39.6,69571.0,35195.0,13341.0,9.763326600509354
202,2012,Nevada County,27.706226415094335,72.29377358490565,32.3611320754717,7.88188679245283,0.0,0.0,30.0,98521.0,48.0,57382.0,31899.0,11320.0,11.489936155743447
203,2012,Orange County,36.11943396226415,63.88056603773586,11.823018867924528,0.0,0.0,0.0,23.0,3021840.0,36.2,75566.0,34233.0,349220.0,11.556535091202711
204,2012,Placer County,21.477547169811324,78.52245283018866,40.703018867924534,7.919622641509434,0.0,0.0,41.0,350074.0,40.2,73356.0,34917.0,29082.0,8.307386438295904
205,2012,Plumas County,13.697735849056606,86.30226415094342,56.194150943396245,15.241320754716977,0.0,0.0,15.0,19926.0,49.4,45358.0,28329.0,2720.0,13.650506875439124
206,2012,Riverside County,8.724339622641509,91.27566037735846,56.34075471698112,4.5726415094339625,0.0,0.0,37.0,2192982.0,33.7,57096.0,23863.0,335557.0,15.301402382691697
207,2012,Sacramento County,5.644528301886792,94.3554716981132,84.53037735849055,10.287169811320755,0.0,0.0,10.0,1422348.0,34.9,55846.0,26856.0,230523.0,16.207215111913538
208,2012,San Benito County,0.0,100.0,94.546037735849,9.433962264150944,0.0,0.0,9.0,55467.0,34.1,63939.0,25791.0,7000.0,12.620116465646241
209,2012,San Bernardino County,2.6216981132075468,97.37830188679246,83.06603773584908,52.27471698113207,0.0,0.0,38.0,2041029.0,31.7,54750.0,21636.0,350982.0,17.196325970870575
210,2012,San Diego County,59.751132075471716,40.24886792452829,0.23113207547169817,0.0,0.0,0.0,26.0,3100500.0,34.7,63373.0,30683.0,418555.0,13.49959683921948
211,2012,San Francisco County,7.633396226415097,92.36660377358491,46.933207547169815,1.8733962264150945,0.0,0.0,54.0,807755.0,38.5,73802.0,47278.0,104784.0,12.972250249147327
