,Unnamed: 0,Year,County,None,D0,D1,D2,D3,D4,Unnamed: 0.1,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Location ID,Month,Temp (F),Rank,Anomaly (1901-2000 base period),1901-2000 Mean
25,83,2010,M,45.15615384615388,54.84384615384614,0.0,0.0,0.0,0.0,2.0,13905.0,36.5,55087.0,27321.0,1664.0,11.966918374685367,CA-051,12,80.7,112,4.0,78.9
26,84,2010,Montere,84.75576923076923,15.244230769230768,3.2438461538461536,0.0,0.0,0.0,3.0,407435.0,32.8,59271.0,25776.0,54276.0,13.321388687766149,CA-053,12,84.8,103,2.2,85.8
27,85,2010,Napa,79.7425,20.2575,7.686153846153848,0.0,0.0,0.0,4.0,134051.0,39.4,67389.0,34310.0,12948.0,9.659010376647693,CA-055,12,86.8,98,2.1,88.7
28,86,2010,Nevada,75.07038461538463,24.929615384615374,4.8725000000000005,0.0,0.0,0.0,5.0,98186.0,46.8,57121.0,30727.0,8740.0,8.901472715051025,CA-057,12,85.3,84,1.8,84.2
29,87,2010,Orange,90.67076923076924,9.329230769230767,6.39173076923077,0.7142307692307692,0.0,0.0,6.0,2965525.0,35.7,74344.0,34017.0,296846.0,10.009897067129764,CA-059,12,84.5,114,4.7,83.6
30,88,2010,Placer,80.90750000000007,19.092500000000005,3.902692307692308,0.0,0.0,0.0,7.0,336477.0,39.8,74447.0,35680.0,22090.0,6.565084686323285,CA-061,12,86.4,85,1.9,85.7
31,89,2010,Plumas,26.55557692307692,73.44442307692304,49.34923076923078,4.005576923076924,0.0,0.0,8.0,20392.0,48.5,44000.0,28732.0,2437.0,11.950765005884659,CA-063,12,84.1,97,2.7,81.9
32,90,2010,Riverside,85.4873076923077,14.512692307692307,7.6923076923076925,0.9076923076923076,0.0,0.0,9.0,2109464.0,33.4,57768.0,24431.0,278358.0,13.195674351399214,CA-065,12,100.6,117,4.0,99.3
33,91,2010,Sacrame,79.79903846153844,20.20096153846153,5.325000000000001,0.0,0.0,0.0,10.0,1395144.0,34.6,56439.0,26953.0,190768.0,13.67371396787715,CA-067,12,92.7,92,2.1,93.3
34,92,2010,San Beni,66.12884615384615,33.87115384615384,6.866923076923077,0.0,0.0,0.0,11.0,54492.0,33.7,65771.0,25508.0,6323.0,11.603538134038025,CA-069,12,87.0,105,2.7,88.0
35,93,2010,San Bernardi,80.41884615384616,19.58115384615385,9.770192307692307,3.757307692307692,0.0,0.0,12.0,2005287.0,31.2,55845.0,21867.0,291020.0,14.51263584713809,CA-071,12,102.0,118,4.6,99.4
36,94,2010,San Dieg,88.59173076923078,11.408269230769232,7.656538461538461,0.0,0.0,0.0,13.0,3022468.0,34.5,63069.0,30715.0,361248.0,11.952086837643941,CA-073,12,90.2,103,3.8,89.2
37,95,2010,San Francisc,92.30769230769229,7.6923076923076925,0.0,0.0,0.0,0.0,14.0,789172.0,38.3,71304.0,45478.0,92600.0,11.733817216018815,CA-075,12,72.7,99,1.7,71.0
38,96,2010,San Joaqui,69.0790384615385,30.920961538461537,7.119230769230769,0.0,0.0,0.0,15.0,673613.0,32.3,54341.0,22851.0,105502.0,15.662108658829329,CA-077,12,92.0,100,3.0,92.5
39,97,2010,San Luis Obisp,76.91230769230765,23.087692307692308,5.900961538461538,0.0,0.0,0.0,16.0,265577.0,39.0,57365.0,29790.0,32183.0,12.11814276085655,CA-079,12,85.9,106,2.8,87.3
40,98,2010,San Mate,92.30769230769229,7.6923076923076925,0.0,0.0,0.0,0.0,17.0,704327.0,39.0,85648.0,43958.0,48744.0,6.920649073512727,CA-081,12,75.2,98,1.9,73.6
41,99,2010,Santa Barbara,90.80230769230766,9.197692307692307,2.7725,0.0,0.0,0.0,18.0,416051.0,33.6,60078.0,29731.0,57463.0,13.811527913645206,CA-083,12,80.9,105,3.8,81.0
42,100,2010,Santa Clara,85.76115384615387,14.238846153846152,2.3207692307692307,0.0,0.0,0.0,19.0,1739396.0,35.8,86850.0,39804.0,152066.0,8.742460026353976,CA-085,12,82.3,104,2.2,82.9
43,101,2010,Santa Cruz,92.30769230769229,7.6923076923076925,0.0,0.0,0.0,0.0,20.0,256901.0,36.6,65253.0,32862.0,31445.0,12.240123627389538,CA-087,12,78.8,105,2.5,76.5
44,102,2010,Shasta,66.40634615384617,33.59365384615384,19.0075,5.007307692307692,0.0,0.0,21.0,176906.0,41.3,43944.0,23772.0,28772.0,16.264004612619132,CA-089,12,92.2,103,3.1,89.1
45,103,2010,Sierra,36.309423076923096,63.6905769230769,20.673076923076923,0.0,0.0,0.0,22.0,3366.0,50.8,52950.0,27389.0,365.0,10.843731431966727,CA-091,12,81.8,92,2.6,80.2
46,104,2010,Siski,38.223269230769255,61.776730769230795,40.027307692307694,7.712115384615388,0.0,0.0,23.0,44690.0,46.5,36981.0,22179.0,7487.0,16.75318863280376,CA-093,12,85.8,114,4.3,81.5
47,105,2010,Sola,76.17634615384614,23.82365384615385,7.492307692307692,0.0,0.0,0.0,24.0,410042.0,36.5,68409.0,28649.0,41158.0,10.037508352802883,CA-095,12,87.3,93,1.9,88.8
48,106,2010,Sonoma,92.30769230769229,7.6923076923076925,4.607692307692308,0.0,0.0,0.0,25.0,474047.0,39.5,63274.0,32597.0,48005.0,10.126633013182238,CA-097,12,81.2,106,2.7,79.8
49,107,2010,Stanislaus,71.17980769230772,28.820192307692302,6.332307692307693,0.0,0.0,0.0,26.0,509682.0,32.5,51094.0,22064.0,82480.0,16.182639371215778,CA-099,12,92.2,95,2.4,92.8
50,108,2010,Sutter,71.43384615384616,28.56615384615385,7.6923076923076925,0.0,0.0,0.0,27.0,93420.0,34.2,50944.0,22344.0,13194.0,14.123314065510595,CA-101,12,95.8,84,1.6,95.9
51,109,2010,Tehama,61.88403846153847,38.11596153846154,17.202115384615382,6.818461538461539,0.0,0.0,28.0,62575.0,39.2,38137.0,20198.0,12397.0,19.81142628845385,CA-103,12,93.0,83,1.9,91.8
52,110,2010,Trini,89.09096153846153,10.90903846153846,5.395384615384615,0.4417307692307692,0.0,0.0,29.0,13701.0,48.5,38725.0,22073.0,1993.0,14.546383475658713,CA-105,12,89.5,107,3.6,85.9
53,111,2010,Tulare,80.6246153846154,19.375384615384622,4.767307692307694,0.0,0.0,0.0,30.0,429404.0,29.4,43851.0,17966.0,97012.0,22.59224413372954,CA-107,12,87.3,95,2.5,86.8
54,112,2010,Tuolumne,97.46249999999996,2.5375000000000005,0.0,0.0,0.0,0.0,31.0,56074.0,46.6,47462.0,25483.0,5925.0,10.566394407390234,CA-109,12,82.6,91,2.0,82.0
55,113,2010,Ventura,90.38192307692309,9.618076923076924,5.460576923076923,0.0042307692307692315,0.0,0.0,32.0,809080.0,36.0,75348.0,32348.0,73842.0,9.1266623819647,CA-111,12,82.9,104,3.3,83.3
56,114,2010,Yol,71.79826923076924,28.20173076923077,7.6923076923076925,0.0,0.0,0.0,33.0,196418.0,30.1,57077.0,27420.0,31895.0,16.238328462768177,CA-113,12,93.6,79,1.3,94.7
57,115,2010,Yuba,87.19980769230764,12.800192307692305,6.401346153846153,0.0,0.0,0.0,34.0,71160.0,31.5,46807.0,19937.0,13760.0,19.33670601461495,CA-115,12,93.6,85,1.6,92.8
58,116,2011,Alameda,100.0,0.0,0.0,0.0,0.0,0.0,19.0,1494876.0,36.4,70821.0,34937.0,173156.0,11.583301892598447,CA-001,12,83.6,114,3.6,82.3
59,117,2011,Alpine,96.63961538461538,3.3603846153846155,0.0,0.0,0.0,0.0,33.0,1167.0,40.4,59018.0,29576.0,170.0,14.567266495287061,CA-003,12,73.8,116,6.0,75.0
60,118,2011,Amador,98.77884615384615,1.2211538461538465,0.0,0.0,0.0,0.0,57.0,38244.0,48.0,56180.0,28030.0,3372.0,8.817069344210857,CA-005,12,88.7,113,3.9,90.4
61,119,2011,Butte,96.55096153846155,3.449038461538462,0.0,0.0,0.0,0.0,49.0,219309.0,37.2,42971.0,23431.0,42283.0,19.28010250377321,CA-007,12,91.2,122,5.8,92.3
62,120,2011,Calaveras,99.19865384615385,0.8013461538461539,0.0,0.0,0.0,0.0,54.0,45794.0,49.0,55256.0,28667.0,3751.0,8.191029392496834,CA-009,12,89.6,115,4.0,91.2
63,121,2011,Colusa,96.92346153846157,3.076538461538461,0.0,0.0,0.0,0.0,22.0,21297.0,33.5,49558.0,21271.0,3029.0,14.222660468610602,CA-011,12,92.1,117,4.9,95.4
64,122,2011,Contra Costa,100.0,0.0,0.0,0.0,0.0,0.0,3.0,1037817.0,38.3,79135.0,38141.0,101562.0,9.786118361907736,CA-013,12,86.0,118,3.8,85.0
65,123,2011,Del Norte,96.15384615384615,3.8461538461538463,0.0,0.0,0.0,0.0,47.0,28561.0,38.9,37588.0,19247.0,5313.0,18.602289835790067,CA-015,12,80.4,122,6.2,77.8
66,124,2011,El Dorad,97.2603846153846,2.739615384615385,0.0,0.0,0.0,0.0,11.0,179878.0,43.1,68815.0,34385.0,15010.0,8.344544635808715,CA-017,12,84.5,114,4.4,85.8
67,125,2011,Fres,100.0,0.0,0.0,0.0,0.0,0.0,24.0,920623.0,30.6,46903.0,20638.0,211140.0,22.93446937562933,CA-019,12,87.7,111,3.4,88.2
68,126,2011,Gle,96.25615384615381,3.7438461538461536,0.0,0.0,0.0,0.0,48.0,28027.0,35.3,43239.0,21254.0,5166.0,18.432226067720414,CA-021,12,91.5,123,6.3,93.7
