Year,County,Poverty Rate
2016,Sacramento ,17.63516528
2016,San Benito ,10.72160686
2016,San Bernardino ,18.61607952
2016,San Diego ,13.648183600000001
2016,San Francisco ,12.25240567
2016,San Joaquin ,17.42816775
2016,San Luis Obispo ,13.35151428
2016,San Mateo ,7.617111937000001
2016,Santa Barbara ,15.22092878
2016,Santa Clara ,9.135696764
2016,Santa Cruz ,14.47268862
2016,Shasta ,17.26571741
2016,Sierra ,11.22483794
2016,Siskiyou ,21.81002107
2016,Solano ,12.39885846
2016,Sonoma ,11.06823149
2016,Stanislaus ,18.04486195
2016,Sutter ,17.3311951
2016,Tehama ,21.20606205
2016,Trinity ,19.77996965
2016,Tulare ,27.89351623
2016,Tuolumne ,13.32244171
2016,Ventura ,10.49519043
2016,Yolo ,18.55192182
2016,Yuba ,20.40678241
2017,Alameda ,11.11882254
2017,Alpine ,19.53449709
2017,Amador ,9.553423042
2017,Butte ,19.97140409
2017,Calaveras ,12.59737666
2017,Colusa ,13.86936077
2017,Contra Costa ,9.667360222000001
2017,Del Norte ,20.30099847
2017,El Dorado ,9.72677891
2017,Fresno ,25.0139973
2017,Glenn ,19.34490782
2017,Humboldt ,20.28267769
2017,Imperial ,22.43647093
2017,Inyo ,9.925803792
2017,Kern ,21.74956529
2017,Kings ,18.65257719
2017,Lake ,22.4635307
2017,Lassen ,10.02542104
2017,Los Angeles ,16.7084054
2017,Madera ,20.87801088
2017,Marin ,7.86575874
2017,Mariposa ,14.88843584
2017,Mendocino ,18.798358800000003
2017,Merced ,22.76113542
2017,Modoc ,17.56681823
2017,Mono ,9.80224783
2017,Monterey ,14.06682857
2017,Napa ,8.003262296
2017,Nevada ,12.00044517
2017,Orange ,11.99242922
2017,Placer ,8.126458392
2017,Plumas ,13.02606281
2017,Riverside ,15.38066634
2017,Sacramento ,16.464023
2017,San Benito ,9.664058905
2017,San Bernardino ,17.66954866
2017,San Diego ,13.00470663
2017,San Francisco ,11.46595423
2017,San Joaquin ,16.75005144
2017,San Luis Obispo ,13.00161717
2017,San Mateo ,7.2016504029999995
2017,Santa Barbara ,14.7841064
2017,Santa Clara ,8.503703905
2017,Santa Cruz ,14.12741571
2017,Shasta ,17.86674417
2017,Sierra ,12.16637782
2017,Siskiyou ,20.48012865
2017,Solano ,11.17818939
2017,Sonoma ,10.52155634
2017,Stanislaus ,17.02682925
2017,Sutter ,16.53536717
2017,Tehama ,20.56856452
2017,Trinity ,19.52136228
2017,Tulare ,26.74838549
2017,Tuolumne ,12.75533869
2017,Ventura ,10.12179271
2017,Yolo ,18.66654124
2017,Yuba ,18.21713735
2018,Alameda ,10.39630103
