,Year,County,None,D0,D1,D2,D3,D4,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Poverty Rate
201,2016,Napa County,0.22653846153846152,99.77346153846155,52.15307692307694,24.603846153846156,10.19519230769231,0.008653846153846154,74609.0,140823.0,40.7,38057.0,12086.0,4910.0,8.582404862842008
202,2016,Nevada County,0.0,100.0,87.50846153846155,46.26499999999999,27.068846153846152,14.859038461538463,57429.0,98639.0,49.5,33385.0,11835.0,3968.0,11.998296819716339
203,2016,Orange County,0.0,100.0,100.0,100.0,100.0,74.02903846153846,78145.0,3132211.0,37.3,35939.0,385556.0,111106.0,12.309387841368286
204,2016,Placer County,0.0,100.0,91.96288461538461,46.29653846153846,26.802500000000002,16.134423076923078,76926.0,370571.0,41.5,37914.0,31932.0,12582.0,8.616972186166754
205,2016,Plumas County,0.06692307692307692,99.93307692307692,88.29711538461538,46.222307692307695,28.401538461538465,14.609807692307694,50125.0,18754.0,51.7,31292.0,2346.0,977.0,12.509331342646902
206,2016,Riverside County,0.0,100.0,97.14326923076925,70.52865384615384,21.919999999999995,0.3261538461538462,57972.0,2323892.0,34.8,24443.0,376689.0,120960.0,16.20940215810373
207,2016,Sacramento County,0.0,100.0,100.0,94.92903846153848,37.77307692307692,26.961153846153856,57509.0,1479300.0,35.7,28292.0,260877.0,74025.0,17.63516528087609
208,2016,San Benito County,0.0,100.0,100.0,99.9975,97.53153846153842,67.89307692307692,73814.0,58051.0,35.1,27848.0,6224.0,3211.0,10.721606862930871
209,2016,San Bernardino County,0.0,100.0,89.36903846153842,60.9463461538461,36.12596153846153,0.6390384615384613,54469.0,2106754.0,32.7,21857.0,392195.0,104472.0,18.616079523285585
210,2016,San Diego County,0.0,100.0,100.0,100.0,66.61000000000003,0.0,66529.0,3253356.0,35.3,32482.0,444024.0,126990.0,13.648183598720829
211,2016,San Francisco County,1.3365384615384615,98.66346153846153,32.23076923076922,21.085576923076925,0.07692307692307693,0.0,87701.0,850282.0,38.4,55567.0,104180.0,32234.0,12.252405672471015
212,2016,San Joaquin County,0.0,100.0,100.0,100.0,85.28115384615383,30.76923076923077,55045.0,714860.0,33.7,23477.0,124587.0,38954.0,17.428167753126488
213,2016,San Luis Obispo County,0.0,100.0,100.0,100.0,100.0,89.73903846153843,64014.0,278680.0,39.0,32335.0,37208.0,7479.0,13.35151428161332
214,2016,San Mateo County,1.6373076923076924,98.36269230769231,21.176923076923078,21.153846153846153,6.792307692307692,0.0,98546.0,754748.0,39.5,50262.0,57490.0,23439.0,7.617111936699402
215,2016,Santa Barbara County,0.0,100.0,100.0,100.0,100.0,100.0,65161.0,439395.0,33.7,31098.0,66880.0,16101.0,15.220928777068469
216,2016,Santa Clara County,0.0017307692307692306,99.99826923076922,86.05192307692306,76.86846153846153,47.59519230769233,7.717692307692309,101173.0,1885056.0,36.8,46034.0,172213.0,65981.0,9.135696764446255
217,2016,Santa Cruz County,0.9146153846153846,99.08538461538463,29.76384615384616,23.750384615384615,5.479807692307692,0.0,70088.0,270931.0,37.0,34732.0,39211.0,10361.0,14.472688618135244
218,2016,Shasta County,15.72192307692308,84.27807692307692,46.02846153846154,23.653846153846153,6.956538461538461,0.8446153846153847,45582.0,179228.0,42.3,25094.0,30945.0,6728.0,17.26571741022608
219,2016,Sierra County,0.0,100.0,90.22096153846154,56.4098076923077,29.73846153846154,14.504038461538462,43984.0,2931.0,55.2,31873.0,329.0,50.0,11.224837939269873
220,2016,Siskiyou County,26.97326923076923,73.02673076923075,29.36423076923077,14.234230769230768,1.9307692307692308,0.0015384615384615385,38524.0,43668.0,47.9,23542.0,9524.0,2161.0,21.81002106805899
221,2016,Solano County,0.0,100.0,96.31500000000005,74.59980769230773,30.404807692307692,2.5853846153846147,69227.0,429596.0,37.5,30251.0,53265.0,21347.0,12.398858462369295
222,2016,Sonoma County,1.6207692307692307,98.37923076923077,23.90115384615385,14.803846153846154,0.6653846153846155,0.0,66833.0,497776.0,41.2,35639.0,55095.0,18297.0,11.068231493683905
223,2016,Stanislaus County,0.0,100.0,100.0,100.0,99.77846153846153,30.76923076923077,51591.0,530561.0,33.8,22915.0,95739.0,33913.0,18.04486194801352
224,2016,Sutter County,0.0,100.0,100.0,38.46153846153846,30.76923076923077,26.923076923076923,52943.0,95406.0,35.6,24335.0,16535.0,4836.0,17.33119510303335
225,2016,Tehama County,2.619230769230769,97.38076923076923,87.61711538461542,38.11673076923077,18.464038461538465,1.3340384615384617,40687.0,63015.0,40.6,21521.0,13363.0,3340.0,21.206062048718557
226,2016,Trinity County,16.99057692307692,83.00942307692307,39.370961538461536,12.81480769230769,0.0,0.0,35270.0,13180.0,50.6,22387.0,2607.0,526.0,19.77996965098634
227,2016,Tulare County,0.0,100.0,100.0,100.0,100.0,97.02307692307689,42789.0,455769.0,30.4,18257.0,127130.0,20254.0,27.893516233004
228,2016,Tuolumne County,0.0,100.0,100.0,100.0,99.72038461538463,35.30480769230769,50731.0,53864.0,48.2,29431.0,7176.0,2570.0,13.322441705034903
229,2016,Ventura County,0.0,100.0,100.0,100.0,100.0,100.0,78593.0,843110.0,37.3,34331.0,88486.0,32651.0,10.49519042592307
230,2016,Yolo County,0.0,100.0,99.975,87.60000000000001,36.04173076923077,22.83538461538462,57663.0,209671.0,30.9,28996.0,38898.0,8105.0,18.551921820375732
231,2016,Yuba County,0.0,100.0,93.35961538461538,38.46153846153846,29.35576923076923,22.579615384615387,48739.0,73897.0,32.2,21418.0,15080.0,3822.0,20.406782413359135
232,2017,Alameda County,92.8076923076923,7.1923076923076925,3.755769230769231,2.379230769230769,0.0,0.0,85743.0,1629615.0,37.3,41363.0,181194.0,53175.0,11.11882254397511
233,2017,Alpine County,94.2875,5.7125,3.998846153846154,3.511923076923077,0.0,0.0,63438.0,1203.0,44.9,27448.0,235.0,64.0,19.534497090606816
234,2017,Amador County,93.59134615384617,6.408653846153846,3.9142307692307696,3.4526923076923075,0.0,0.0,60636.0,37306.0,50.6,29628.0,3564.0,1371.0,9.55342304186994
235,2017,Butte County,96.15384615384616,3.8461538461538463,0.6646153846153846,0.0,0.0,0.0,46516.0,225207.0,36.9,26304.0,44977.0,9329.0,19.97140408601864
236,2017,Calaveras County,87.79326923076925,12.20673076923077,7.93923076923077,4.976538461538461,2.276923076923077,0.0,54800.0,45057.0,51.6,31652.0,5676.0,1281.0,12.597376656235435
237,2017,Colusa County,96.15384615384616,3.8461538461538463,3.5992307692307692,0.0,0.0,0.0,56481.0,21479.0,34.7,25676.0,2979.0,592.0,13.869360770985613
238,2017,Contra Costa County,93.32057692307694,6.679423076923078,3.536923076923077,2.438076923076923,0.0,0.0,88456.0,1123678.0,39.2,42898.0,108630.0,39750.0,9.667360222412471
239,2017,Del Norte County,100.0,0.0,0.0,0.0,0.0,0.0,41287.0,27442.0,38.7,20809.0,5571.0,916.0,20.30099846949931
240,2017,El Dorado County,95.93307692307692,4.066923076923077,2.943076923076923,0.38961538461538464,0.0,0.0,74885.0,185015.0,45.5,38156.0,17996.0,7042.0,9.726778909818123
241,2017,Fresno County,64.63519230769234,35.3648076923077,13.163461538461538,9.069615384615386,6.669038461538462,2.078076923076923,48730.0,971616.0,31.8,22234.0,243040.0,45315.0,25.0139972993446
242,2017,Glenn County,96.15384615384616,3.8461538461538463,2.886923076923077,0.0,0.0,0.0,46260.0,27935.0,36.8,21029.0,5404.0,1096.0,19.344907821729013
243,2017,Humboldt County,100.0,0.0,0.0,0.0,0.0,0.0,43718.0,135490.0,37.7,25208.0,27481.0,5850.0,20.282677688390287
244,2017,Imperial County,0.17192307692307696,99.8280769230769,87.67942307692304,29.02461538461538,0.0,0.0,44779.0,179957.0,32.2,17303.0,40376.0,11415.0,22.436470934723296
