,YEAR,COUNTY,EVENT_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM
3000,2010,Los Angeles,Winter Storm,0,0,0
3007,2010,San Bernardino,Wildfire,0,1,0
3008,2010,San Luis Obispo,Flash Flood,0,0,1000
3010,2010,Mono,Heavy Rain,0,0,0
3011,2010,San Luis Obispo,Flash Flood,0,0,5000
3012,2010,Ventura,Winter Storm,0,0,0
3013,2010,Los Angeles,Winter Storm,0,0,0
3014,2010,Los Angeles,High Wind,0,0,0
3015,2010,Los Angeles,High Wind,0,0,0
3016,2010,Los Angeles,High Wind,0,0,0
3017,2010,San Bernardino,High Wind,0,0,0
3018,2010,Los Angeles,High Wind,0,0,0
3019,2010,San Luis Obispo,Thunderstorm Wind,0,0,0
3021,2010,Siskiyou,Wildfire,0,0,0
3023,2010,Sierra,Heavy Rain,0,0,0
3024,2010,Sierra,Heavy Rain,0,0,0
3025,2010,Riverside,Flash Flood,0,0,0
3026,2010,Sierra,Flash Flood,0,0,0
3027,2010,Riverside,Heavy Rain,0,0,0
3028,2010,Riverside,Heavy Rain,0,0,0
3029,2010,Riverside,Thunderstorm Wind,0,0,80000
3030,2010,Sierra,Flash Flood,0,0,0
3032,2010,Sierra,Heavy Rain,0,0,0
3034,2010,Placer,Strong Wind,0,0,100000
3035,2010,Sierra,Thunderstorm Wind,0,0,15000
3036,2010,Sierra,Hail,0,0,0
3037,2010,Yolo,Hail,0,0,0
3038,2010,Sierra,Flash Flood,0,0,10000
3040,2010,San Bernardino,Wildfire,0,2,0
3041,2010,Sierra,Heavy Rain,0,0,0
3042,2010,Los Angeles,High Wind,0,0,0
3043,2010,Santa Barbara,High Wind,0,0,0
3044,2010,San Luis Obispo,Thunderstorm Wind,0,0,0
3045,2010,Yuba,Winter Storm,0,0,0
3048,2010,Tehama,Winter Storm,0,0,0
3049,2010,Shasta,Winter Weather,0,0,0
3050,2010,Tehama,Winter Weather,0,0,0
3051,2010,Siskiyou,Heavy Snow,0,0,0
3052,2010,Siskiyou,Heavy Snow,0,0,0
3053,2010,Riverside,High Wind,0,0,0
3054,2010,Siskiyou,Heavy Snow,0,0,0
3064,2010,Siskiyou,Heavy Snow,0,0,0
3067,2010,Sierra,Flash Flood,0,0,0
3068,2010,San Luis Obispo,Flash Flood,0,0,0
3070,2010,San Bernardino,Wildfire,0,0,8000
3071,2010,San Bernardino,Wildfire,0,0,0
3072,2010,Sierra,Thunderstorm Wind,0,0,1000
3073,2010,Riverside,Heavy Rain,0,0,0
3074,2010,Riverside,Lightning,0,0,5000
3075,2010,Riverside,Wildfire,0,0,0
3076,2010,Riverside,Heavy Rain,0,0,0
3077,2010,San Bernardino,Wildfire,0,1,17500
3078,2010,Sonoma,High Surf,4,0,20000
3079,2010,San Diego,Wildfire,0,0,0
3080,2010,San Diego,Hail,0,0,0
3081,2010,Monterey,High Surf,2,5,0
3083,2010,Sonoma,Strong Wind,0,0,45000
3084,2010,Inyo,Heavy Snow,0,0,0
3085,2010,Inyo,Heavy Snow,0,0,0
3086,2010,Sierra,Flash Flood,0,0,10000
3087,2010,Santa Barbara,High Wind,0,0,0
3088,2010,Sierra,Heavy Rain,0,0,0
3089,2010,Mono,Hail,0,0,0
3090,2010,San Luis Obispo,Thunderstorm Wind,0,0,0
3091,2010,Sierra,Flash Flood,0,0,0
3092,2010,San Luis Obispo,Flash Flood,0,0,0
3094,2010,San Bernardino,Wildfire,0,0,8000
3095,2010,San Bernardino,Wildfire,0,0,0
3096,2010,Sierra,Thunderstorm Wind,0,0,1000
3097,2010,Riverside,Heavy Rain,0,0,0
3098,2010,San Luis Obispo,Flash Flood,0,0,5000
3099,2010,Riverside,Lightning,0,0,5000
3100,2010,Riverside,Heavy Rain,0,0,0
3101,2010,San Bernardino,Wildfire,0,1,17500
3102,2010,Sonoma,High Surf,4,0,20000
3103,2010,San Diego,Wildfire,0,0,0
3104,2010,San Diego,Hail,0,0,0
3105,2010,Monterey,High Surf,2,5,0
3108,2010,Riverside,Wildfire,0,0,0
3110,2010,San Luis Obispo,Thunderstorm Wind,0,0,0
3111,2010,San Luis Obispo,Flash Flood,0,0,1000
3112,2010,Placer,Strong Wind,0,0,100000
3113,2010,Sierra,Thunderstorm Wind,0,0,15000
3114,2010,Sierra,Hail,0,0,0
3115,2010,Yolo,Hail,0,0,0
3116,2010,Sierra,Flash Flood,0,0,10000
3118,2010,San Bernardino,Wildfire,0,2,0
3120,2010,Mono,Heavy Rain,0,0,0
3129,2010,San Bernardino,Wildfire,0,1,0
3130,2010,Siskiyou,Wildfire,0,0,0
3131,2010,Sierra,Winter Storm,0,0,0
3132,2010,Placer,Winter Storm,0,2,400000
3133,2010,Mono,Winter Storm,0,0,0
3137,2010,Sierra,Thunderstorm Wind,0,0,0
3139,2010,Sierra,Flash Flood,0,0,10000
3140,2010,Sierra,Lightning,0,0,2000
3143,2010,Riverside,Lightning,0,0,2000
3144,2010,Sierra,Heavy Rain,0,0,0
3146,2010,Riverside,Heavy Rain,0,0,0
3148,2010,Riverside,Thunderstorm Wind,0,0,10000
3149,2010,Mono,Thunderstorm Wind,0,0,0
3150,2010,Sierra,Flash Flood,0,0,0
3151,2010,San Bernardino,Wildfire,0,0,0
3152,2010,Sierra,Flash Flood,0,0,0
3153,2010,Sierra,Flash Flood,0,0,20000
3156,2010,Inyo,High Wind,0,0,0
3157,2010,Yuba,Winter Storm,0,0,0
3158,2010,Tehama,Winter Storm,0,0,0
3159,2010,Placer,Winter Weather,0,0,0
3160,2010,Sonoma,Landslide,0,0,0
3161,2010,Sierra,Thunderstorm Wind,0,0,0
3162,2010,Siskiyou,Frost/Freeze,0,0,0
3163,2010,Modoc,Frost/Freeze,0,0,0
3164,2010,San Diego,Wildfire,0,4,400000
3165,2010,Modoc,Frost/Freeze,0,0,0
3166,2010,Siskiyou,Frost/Freeze,0,0,0
3168,2010,Modoc,Frost/Freeze,0,0,0
3169,2010,Siskiyou,Frost/Freeze,0,0,0
3170,2010,Siskiyou,Frost/Freeze,0,0,0
3171,2010,Modoc,Frost/Freeze,0,0,0
3175,2010,Mono,Flash Flood,0,0,0
3177,2010,Inyo,High Wind,0,0,20000
3178,2010,San Bernardino,High Wind,0,0,0
3179,2010,Yuba,Winter Storm,0,0,0
3182,2010,Tehama,Winter Storm,0,0,0
3183,2010,Shasta,Winter Weather,0,0,0
3184,2010,Tehama,Winter Weather,0,0,0
3185,2010,Siskiyou,Heavy Snow,0,0,0
3186,2010,Siskiyou,Heavy Snow,0,0,0
3187,2010,Riverside,High Wind,0,0,0
3188,2010,Siskiyou,Heavy Snow,0,0,0
3199,2010,Siskiyou,Heavy Snow,0,0,0
3201,2010,Yuba,Winter Storm,0,0,0
3202,2010,Tehama,Winter Storm,0,0,0
3203,2010,Shasta,Winter Storm,0,0,0
3204,2010,Shasta,Winter Storm,0,0,0
3205,2010,Inyo,Heavy Snow,0,0,0
3208,2010,Sierra,Winter Storm,0,0,0
3210,2010,Placer,Winter Storm,0,2,400000
3211,2010,Inyo,High Wind,0,0,0
3212,2010,Yuba,Winter Storm,0,0,0
3213,2010,Tehama,Winter Storm,0,0,0
3214,2010,Placer,Winter Weather,0,0,0
3215,2010,Sonoma,Landslide,0,0,0
3216,2010,Sonoma,Strong Wind,0,0,45000
3217,2010,Inyo,Heavy Snow,0,0,0
3218,2010,Inyo,Heavy Snow,0,0,0
3219,2010,Mono,Winter Storm,0,0,0
3223,2010,Yuba,Winter Storm,0,0,0
3224,2010,Tehama,Winter Storm,0,0,0
3225,2010,Tehama,Winter Storm,0,0,0
3226,2010,Santa Cruz,Strong Wind,0,0,500000
3227,2010,Santa Cruz,Strong Wind,0,0,25000
3228,2010,Siskiyou,Heavy Snow,0,0,0
3229,2010,Siskiyou,Heavy Snow,0,0,0
3230,2010,Siskiyou,Heavy Snow,0,0,0
3231,2010,Yuba,Winter Storm,0,0,0
3235,2010,Shasta,Winter Storm,0,0,0
3236,2010,Tehama,Winter Storm,0,0,0
3237,2010,Shasta,Winter Storm,0,0,0
3238,2010,Inyo,Heavy Snow,0,0,0
3239,2010,Riverside,High Wind,0,0,0
3242,2010,Tuolumne,Flood,0,0,0
3243,2010,Siskiyou,Flash Flood,0,0,0
3244,2010,San Bernardino,High Wind,0,0,0
3245,2010,Yolo,Tornado,0,0,2000
3248,2010,Placer,Heavy Snow,0,0,0
3249,2010,Sierra,Heavy Snow,0,0,0
3250,2010,Siskiyou,Heavy Snow,0,0,0
3251,2010,Siskiyou,Heavy Snow,0,0,0
3252,2010,Yuba,Winter Weather,0,0,0
3253,2010,Yuba,Winter Storm,0,0,0
3254,2010,Tehama,Winter Storm,0,0,0
3255,2010,Tehama,Winter Weather,0,0,0
3256,2010,Tehama,Winter Storm,0,0,0
3257,2010,Shasta,Winter Storm,0,0,0
3258,2010,Modoc,Heavy Snow,0,0,0
3259,2010,Shasta,Winter Storm,0,0,0
3260,2010,Placer,Winter Weather,0,0,0
3261,2010,San Bernardino,Strong Wind,0,0,70000
3262,2010,Modoc,Winter Weather,0,0,0
3264,2010,Siskiyou,Heavy Snow,0,0,0
3265,2010,Inyo,High Wind,0,0,0
3266,2010,Siskiyou,Heavy Snow,0,0,0
3267,2010,Santa Barbara,Flood,0,0,35000
3268,2010,Sonoma,Strong Wind,0,0,45000
3269,2010,Placer,Winter Storm,0,0,0
3270,2010,Tehama,Winter Storm,0,0,0
3271,2010,Siskiyou,Heavy Snow,0,0,0
3272,2010,Siskiyou,Heavy Snow,0,0,0
3273,2010,Modoc,Heavy Snow,0,0,0
3276,2010,Sonoma,Strong Wind,0,0,10000
3279,2010,Siskiyou,Heavy Snow,0,0,0
3280,2010,Ventura,Winter Storm,0,0,0
3281,2010,Los Angeles,Winter Storm,0,0,0
3282,2010,San Luis Obispo,Flash Flood,0,0,0
3284,2010,San Luis Obispo,Flash Flood,0,0,0
3285,2010,Sonoma,Landslide,0,0,0
3288,2010,Santa Cruz,High Wind,0,0,15000
3289,2010,Yuba,Winter Storm,0,0,0
3290,2010,Monterey,Strong Wind,0,0,20000
3291,2010,Santa Cruz,Coastal Flood,0,0,0
3292,2010,Riverside,High Wind,0,0,0
3293,2010,Contra Costa,Strong Wind,0,0,47000
3294,2010,San Francisco,Strong Wind,0,1,35000
3295,2010,Santa Cruz,Strong Wind,0,0,15000
3296,2010,San Bernardino,High Wind,0,0,0
3298,2010,Santa Cruz,Strong Wind,0,0,15000
3299,2010,Trinity,Flood,0,0,500000
3301,2010,Santa Barbara,Flood,0,0,75000
3302,2010,Tuolumne,Flood,0,0,125000
3303,2010,Santa Clara,Landslide,0,0,0
3304,2010,Inyo,Heavy Snow,0,0,0
3305,2010,Mono,Winter Storm,0,0,0
3306,2010,Monterey,Strong Wind,0,0,55000
3307,2010,Sonoma,Strong Wind,1,0,30000
3309,2010,Sierra,Flash Flood,0,0,25000
3310,2010,Sierra,Flash Flood,0,0,50000
3311,2010,Sierra,Flash Flood,0,0,20000
3313,2010,Tuolumne,Flood,0,0,150000
3314,2010,Trinity,Flood,0,0,1000000
3317,2010,San Bernardino,High Wind,0,0,2000
3318,2010,Sierra,Flash Flood,0,0,10000
3319,2010,Los Angeles,Heavy Rain,0,0,25000
3321,2010,Sierra,Flood,1,0,0
3322,2010,Sierra,Flood,0,0,97000000
3323,2010,Santa Cruz,Landslide,0,0,4000
3324,2010,Santa Cruz,Landslide,0,0,4000
3325,2010,Santa Cruz,Strong Wind,0,0,15000
3326,2010,Santa Cruz,Strong Wind,0,0,40000
3327,2010,Inyo,Heavy Snow,0,0,0
3328,2010,Santa Clara,Strong Wind,0,0,5000
3329,2010,Santa Cruz,Strong Wind,0,0,5000
3330,2010,Los Angeles,Flood,0,0,36000000
3333,2010,Sierra,Flash Flood,0,0,20000
3334,2010,Los Angeles,Flash Flood,0,0,12300000
3335,2010,Riverside,Flash Flood,1,0,0
3336,2010,Sierra,Heavy Rain,0,0,5000
3337,2010,Sierra,Flood,0,0,5000000
3338,2010,Mono,Flood,0,0,2000000
3339,2010,Mono,Flash Flood,0,0,0
3340,2010,San Luis Obispo,Flash Flood,0,0,0
3342,2010,Riverside,Flash Flood,0,0,1500
3343,2010,Sierra,Flash Flood,0,0,0
3344,2010,Sierra,Flash Flood,0,0,5000
3345,2010,San Bernardino,Heavy Rain,0,0,35000
3346,2010,San Bernardino,Landslide,0,0,15000000
3347,2010,San Bernardino,High Wind,0,0,0
3348,2010,San Bernardino,Landslide,0,0,0
3349,2010,Sonoma,Strong Wind,0,0,25000
3350,2010,Sierra,Flash Flood,0,0,500000
3352,2010,Sierra,Flash Flood,0,0,0
3353,2010,Siskiyou,Heavy Snow,0,0,0
3355,2010,Sierra,Heavy Rain,0,0,0
3356,2010,Sierra,Flash Flood,0,0,0
3358,2010,Siskiyou,Frost/Freeze,0,0,0
3359,2010,Modoc,Frost/Freeze,0,0,0
3360,2010,San Diego,Wildfire,0,4,400000
3361,2010,Modoc,Frost/Freeze,0,0,0
3362,2010,Siskiyou,Frost/Freeze,0,0,0
3363,2010,Sierra,Thunderstorm Wind,0,0,0
3364,2010,Placer,Strong Wind,0,0,60000
3365,2010,Modoc,Frost/Freeze,0,0,0
3366,2010,San Bernardino,High Wind,0,0,0
3367,2010,San Diego,Flood,0,0,0
3368,2010,Los Angeles,High Wind,0,0,0
3369,2010,Ventura,High Wind,0,0,0
3370,2010,Siskiyou,Frost/Freeze,0,0,0
3371,2010,Santa Barbara,High Wind,0,0,0
3372,2010,Yuba,Winter Weather,0,0,0
3373,2010,Tehama,Winter Weather,0,0,0
3376,2010,Yuba,Winter Weather,0,0,0
3377,2010,Siskiyou,Frost/Freeze,0,0,0
3378,2010,Modoc,Frost/Freeze,0,0,0
3379,2010,San Luis Obispo,Flash Flood,0,0,0
3381,2010,San Luis Obispo,Flash Flood,0,0,0
3382,2010,Sonoma,Landslide,0,0,0
3384,2010,Sierra,Flash Flood,0,0,25000
3385,2010,Sierra,Flash Flood,0,0,50000
3386,2010,Sierra,Flash Flood,0,0,20000
3387,2010,Siskiyou,Frost/Freeze,0,0,0
3388,2010,Los Angeles,Flash Flood,0,0,12300000
3389,2010,Sierra,Heavy Rain,0,0,5000
3390,2010,Sierra,Flood,0,0,5000000
3391,2010,Mono,Flood,0,0,2000000
3397,2010,Riverside,Flash Flood,1,0,0
3398,2010,Tehama,Winter Weather,0,0,0
3399,2010,Siskiyou,Frost/Freeze,0,0,0
3400,2010,San Francisco,High Surf,2,0,25000
3401,2010,San Bernardino,High Wind,0,0,0
3402,2010,San Bernardino,High Wind,0,0,0
3405,2010,Riverside,High Wind,0,0,0
3406,2010,Inyo,High Wind,0,0,0
3407,2010,Inyo,High Wind,0,0,0
3408,2010,Inyo,High Wind,0,0,0
3409,2010,San Bernardino,Strong Wind,0,0,5000
3410,2010,San Bernardino,High Wind,0,0,0
3411,2010,Inyo,High Wind,0,0,0
3412,2010,Inyo,High Wind,0,0,0
3413,2010,Inyo,High Wind,0,0,0
3414,2010,Yuba,Winter Storm,0,0,0
3415,2010,Mono,High Wind,0,0,0
3416,2010,Placer,High Wind,0,0,0
3417,2010,Tehama,Winter Storm,0,0,0
3419,2010,Inyo,High Wind,0,1,125000
3420,2010,San Bernardino,High Wind,0,0,0
3421,2010,San Bernardino,Strong Wind,0,0,5000
3422,2010,Los Angeles,High Wind,0,0,0
3423,2010,Siskiyou,Frost/Freeze,0,0,0
3425,2010,Siskiyou,Frost/Freeze,0,0,0
3426,2010,Inyo,High Wind,0,0,0
3427,2010,San Bernardino,Wildfire,0,0,0
3429,2010,Santa Barbara,High Wind,0,0,0
3430,2010,Ventura,High Wind,0,0,0
3431,2010,Los Angeles,High Wind,0,0,0
3432,2010,San Bernardino,High Wind,0,0,0
3434,2010,San Bernardino,High Wind,0,0,0
3435,2010,Inyo,High Wind,0,0,0
3436,2010,Inyo,High Wind,0,0,0
3438,2010,Inyo,High Wind,0,0,0
3439,2010,Inyo,High Wind,0,0,45000
3440,2010,Santa Barbara,High Wind,0,0,0
3441,2010,Ventura,High Wind,0,0,0
3442,2010,Los Angeles,Winter Storm,0,0,0
3443,2010,Siskiyou,Heavy Snow,0,0,0
3444,2010,Ventura,Winter Storm,0,0,0
3446,2010,Riverside,Thunderstorm Wind,0,0,10000
3448,2010,Riverside,Heavy Rain,0,0,0
3450,2010,Sierra,Heavy Rain,0,0,0
3451,2010,Sierra,Flash Flood,0,0,0
3452,2010,Riverside,Lightning,0,0,2000
3454,2010,Mono,Thunderstorm Wind,0,0,0
3455,2010,Sierra,Lightning,0,0,2000
3457,2010,Sierra,Thunderstorm Wind,0,0,0
3462,2010,Sierra,Flash Flood,0,0,20000
3463,2010,Ventura,Winter Storm,0,0,0
3464,2010,Sierra,Flash Flood,0,0,10000
3465,2010,Los Angeles,Winter Storm,0,0,0
3466,2010,Sierra,Flash Flood,0,0,0
3467,2010,Mono,Hail,0,0,0
3468,2010,Yolo,Hail,0,0,0
3469,2010,Sierra,Hail,0,0,0
3470,2010,Sierra,Thunderstorm Wind,0,0,15000
3471,2010,Placer,Strong Wind,0,0,100000
3473,2010,Sierra,Heavy Rain,0,0,0
3474,2010,Sierra,Heavy Rain,0,0,0
3475,2010,Sierra,Flash Flood,0,0,0
3476,2010,San Bernardino,Wildfire,0,0,0
3477,2010,Riverside,Thunderstorm Wind,0,0,80000
3478,2010,Riverside,Heavy Rain,0,0,0
3479,2010,Sierra,Flash Flood,0,0,0
3480,2010,Riverside,Flash Flood,0,0,0
3481,2010,Sierra,Heavy Rain,0,0,0
3482,2010,Sierra,Heavy Rain,0,0,0
3483,2010,Sierra,Flash Flood,0,0,10000
3484,2010,Sierra,Heavy Rain,0,0,0
3485,2010,Mono,Flash Flood,0,0,0
3486,2010,Riverside,Heavy Rain,0,0,0
3487,2010,Los Angeles,High Wind,0,0,0
3488,2010,Los Angeles,High Wind,0,0,0
3489,2010,Los Angeles,High Wind,0,0,0
3490,2010,Inyo,Heavy Snow,0,0,0
3491,2010,Mono,Winter Storm,0,0,0
3492,2010,Monterey,Strong Wind,0,0,55000
3493,2010,Sonoma,Strong Wind,1,0,30000
3494,2010,Yuba,Winter Storm,0,0,0
3495,2010,Santa Cruz,Strong Wind,0,0,15000
3496,2010,Santa Cruz,High Wind,0,0,15000
3497,2010,Sonoma,Strong Wind,0,0,10000
3498,2010,Santa Clara,Landslide,0,0,0
3499,2010,Sonoma,Strong Wind,0,0,45000
3500,2010,Tehama,Winter Storm,0,0,0
3501,2010,Siskiyou,Heavy Snow,0,0,0
3502,2010,Siskiyou,Heavy Snow,0,0,0
3503,2010,Modoc,Heavy Snow,0,0,0
3508,2010,Placer,Winter Storm,0,0,0
3509,2010,Tuolumne,Flood,0,0,125000
3510,2010,Santa Barbara,Flood,0,0,75000
3512,2010,San Bernardino,High Wind,0,0,0
3513,2010,Los Angeles,High Wind,0,0,0
3515,2010,Los Angeles,High Wind,0,0,0
3516,2010,Santa Barbara,High Wind,0,0,0
3517,2010,Santa Barbara,High Wind,0,0,0
3518,2010,Inyo,High Wind,0,0,20000
3519,2010,Inyo,High Wind,0,0,0
3520,2010,San Bernardino,High Wind,0,0,0
3521,2010,Monterey,Strong Wind,0,0,20000
3522,2010,Santa Cruz,Coastal Flood,0,0,0
3523,2010,Riverside,High Wind,0,0,0
3524,2010,Contra Costa,Strong Wind,0,0,47000
3525,2010,San Francisco,Strong Wind,0,1,35000
3526,2010,Santa Cruz,Strong Wind,0,0,15000
3527,2010,San Bernardino,High Wind,0,0,0
3529,2010,Trinity,Flood,0,0,500000
3531,2010,Siskiyou,Heavy Snow,0,0,0
3532,2010,Sierra,Heavy Rain,0,0,0
3533,2010,Siskiyou,Heavy Snow,0,0,0
3535,2010,Yuba,Winter Storm,0,0,0
3536,2010,Mono,Winter Weather,0,0,0
3537,2010,Inyo,High Wind,0,0,0
3538,2010,Tehama,Winter Storm,0,0,0
3539,2010,Riverside,High Wind,0,0,0
3540,2010,San Diego,High Wind,0,0,0
3541,2010,Sierra,Heavy Rain,0,0,0
3542,2010,Sierra,Flash Flood,0,0,10000
3543,2010,Inyo,High Wind,0,0,0
3545,2010,Mono,Heavy Snow,0,0,0
3546,2010,Inyo,High Wind,0,0,0
3549,2010,Tehama,Winter Storm,0,0,0
3550,2010,Yuba,Winter Storm,0,0,0
3551,2010,Tehama,Winter Storm,0,0,0
3552,2010,Yuba,Winter Storm,0,0,0
3554,2010,Placer,Heavy Snow,0,0,0
3555,2010,Inyo,High Wind,0,0,0
3556,2010,Mono,Hail,0,0,0
3560,2010,Sierra,Thunderstorm Wind,0,0,0
3562,2010,Sierra,Flash Flood,0,0,10000
3563,2010,Sierra,Lightning,0,0,2000
3565,2010,Mono,Flash Flood,0,0,0
3566,2010,Riverside,Lightning,0,0,2000
3567,2010,Sierra,Heavy Rain,0,0,0
3569,2010,Riverside,Heavy Rain,0,0,0
3571,2010,Riverside,Thunderstorm Wind,0,0,10000
3572,2010,Mono,Thunderstorm Wind,0,0,0
3573,2010,Sierra,Flash Flood,0,0,0
3574,2010,San Bernardino,Wildfire,0,0,0
3575,2010,Sierra,Flash Flood,0,0,0
3576,2010,San Bernardino,High Wind,0,0,0
3577,2010,Sierra,Winter Weather,0,0,0
3578,2010,Tehama,Winter Storm,0,0,0
3579,2010,Inyo,High Wind,0,0,0
3580,2010,Tuolumne,Funnel Cloud,0,0,0
3582,2010,Inyo,High Wind,0,0,25000
3584,2010,Inyo,High Wind,0,0,20000
3587,2010,Tuolumne,Heavy Rain,0,0,0
3588,2010,Inyo,High Wind,0,0,0
3589,2010,Inyo,High Wind,0,0,0
3590,2010,Sierra,Heavy Rain,0,0,0
3591,2010,Sierra,Heavy Rain,0,0,0
3592,2010,Riverside,Flash Flood,0,0,0
3593,2010,Sierra,Flash Flood,0,0,0
3594,2010,Riverside,Heavy Rain,0,0,0
3595,2010,Riverside,Heavy Rain,0,0,0
3596,2010,Riverside,Thunderstorm Wind,0,0,80000
3597,2010,Inyo,High Wind,0,0,20000
3598,2010,Santa Barbara,Heavy Rain,0,0,0
3599,2010,Inyo,High Wind,0,0,0
3600,2010,Siskiyou,Heavy Snow,0,0,0
3601,2010,Shasta,Winter Storm,0,0,0
3602,2010,Shasta,Winter Storm,0,0,0
3607,2010,Inyo,Heavy Snow,0,0,0
3608,2010,Siskiyou,Heavy Snow,0,0,0
3609,2010,Siskiyou,Heavy Snow,0,0,0
3610,2010,Trinity,Heavy Rain,0,0,0
3611,2010,Yuba,Winter Storm,0,0,0
3612,2010,Inyo,High Wind,0,0,0
3613,2010,Inyo,High Wind,0,0,0
3614,2010,Inyo,High Wind,0,0,0
3615,2010,Tehama,Winter Storm,0,0,0
3616,2010,Inyo,High Wind,0,0,0
3617,2010,Mono,High Wind,0,0,0
3618,2010,Siskiyou,Heavy Snow,0,0,0
3619,2010,Siskiyou,Heavy Snow,0,0,0
3621,2010,Siskiyou,Heavy Snow,0,0,0
3622,2010,Sierra,Flash Flood,0,0,20000
3624,2010,Siskiyou,Heavy Snow,0,0,0
3625,2010,Siskiyou,Heavy Snow,0,0,0
3627,2010,Inyo,High Wind,0,0,0
3628,2010,Mono,Flash Flood,0,0,0
3629,2010,San Luis Obispo,Flash Flood,0,0,0
3631,2010,Riverside,Flash Flood,0,0,1500
3632,2010,Inyo,Heavy Snow,0,0,0
3633,2010,Sierra,Flash Flood,0,0,0
3634,2010,San Bernardino,Heavy Rain,0,0,35000
3635,2010,San Bernardino,Landslide,0,0,15000000
3636,2010,San Bernardino,High Wind,0,0,0
3637,2010,San Bernardino,Landslide,0,0,0
3638,2010,Sonoma,Strong Wind,0,0,25000
3639,2010,Sierra,Flash Flood,0,0,500000
3641,2010,Sierra,Flash Flood,0,0,0
3642,2010,Sierra,Flash Flood,0,0,5000
3643,2010,Sierra,Flash Flood,0,0,20000
3644,2010,Inyo,High Wind,0,0,0
3649,2010,Inyo,High Wind,0,0,0
3652,2010,Trinity,Heavy Rain,0,0,0
3653,2010,Trinity,Heavy Rain,0,0,0
3654,2010,Shasta,Heavy Rain,0,0,10000
3655,2010,Tuolumne,Heavy Rain,0,0,0
3656,2010,Tuolumne,Lightning,0,0,200000
3657,2010,Tuolumne,Hail,0,0,0
3658,2010,Ventura,Winter Storm,0,0,0
3659,2010,Los Angeles,Winter Storm,0,0,0
3660,2010,Santa Cruz,Strong Wind,0,0,25000
3662,2010,Los Angeles,Flood,0,0,12000
3663,2010,Inyo,High Wind,0,0,0
3664,2010,Tuolumne,Funnel Cloud,0,0,0
3668,2010,Tehama,Winter Storm,0,0,0
3669,2010,Shasta,Winter Storm,0,0,0
3670,2010,Shasta,Winter Storm,0,0,0
3671,2010,Inyo,Heavy Snow,0,0,0
3672,2010,Sierra,Thunderstorm Wind,0,0,0
3673,2010,Siskiyou,Frost/Freeze,0,0,0
3674,2010,Modoc,Frost/Freeze,0,0,0
3675,2010,San Diego,Wildfire,0,4,400000
3676,2010,Yuba,Winter Storm,0,0,0
3677,2010,Modoc,Frost/Freeze,0,0,0
3679,2010,Modoc,Frost/Freeze,0,0,0
3680,2010,Siskiyou,Frost/Freeze,0,0,0
3681,2010,Siskiyou,Frost/Freeze,0,0,0
3682,2010,Modoc,Frost/Freeze,0,0,0
3686,2010,Siskiyou,Frost/Freeze,0,0,0
3687,2010,Siskiyou,Heavy Snow,0,0,0
3688,2010,Siskiyou,Heavy Snow,0,0,0
3689,2010,Siskiyou,Heavy Snow,0,0,0
3691,2010,Tuolumne,Flood,0,0,150000
3692,2010,Trinity,Flood,0,0,1000000
3695,2010,San Bernardino,High Wind,0,0,2000
3696,2010,Sierra,Flash Flood,0,0,10000
3697,2010,Los Angeles,Heavy Rain,0,0,25000
3698,2010,Sierra,Flood,1,0,0
3699,2010,Los Angeles,Flood,0,0,36000000
3700,2010,Sierra,Flood,0,0,97000000
3701,2010,Santa Cruz,Landslide,0,0,4000
3702,2010,Santa Cruz,Landslide,0,0,4000
3703,2010,Santa Cruz,Strong Wind,0,0,15000
3704,2010,Santa Cruz,Strong Wind,0,0,40000
3705,2010,Inyo,Heavy Snow,0,0,0
3706,2010,Santa Clara,Strong Wind,0,0,5000
3707,2010,Santa Cruz,Strong Wind,0,0,5000
3708,2010,Santa Barbara,Flood,0,0,35000
3710,2010,Ventura,Winter Storm,0,0,0
3713,2010,San Bernardino,High Wind,0,0,0
3714,2010,Santa Cruz,Strong Wind,0,0,15000
3715,2010,San Francisco,Strong Wind,0,1,35000
3716,2010,Contra Costa,Strong Wind,0,0,47000
3717,2010,Riverside,High Wind,0,0,0
3718,2010,Santa Cruz,Coastal Flood,0,0,0
3719,2010,Monterey,Strong Wind,0,0,20000
3720,2010,San Bernardino,High Wind,0,0,0
3722,2010,Inyo,High Wind,0,0,0
3723,2010,Santa Barbara,High Wind,0,0,0
3724,2010,Santa Barbara,High Wind,0,0,0
3725,2010,Los Angeles,High Wind,0,0,0
3727,2010,Los Angeles,High Wind,0,0,0
3728,2010,San Bernardino,High Wind,0,0,0
3729,2010,Los Angeles,High Wind,0,0,0
3730,2010,Los Angeles,High Wind,0,0,0
3731,2010,Inyo,High Wind,0,0,20000
3732,2010,Los Angeles,High Wind,0,0,0
3733,2010,Trinity,Flood,0,0,500000
3736,2010,Modoc,Heavy Snow,0,0,0
3737,2010,Siskiyou,Heavy Snow,0,0,0
3738,2010,Siskiyou,Heavy Snow,0,0,0
3739,2010,Tehama,Winter Storm,0,0,0
3740,2010,Placer,Winter Storm,0,0,0
3741,2010,Sonoma,Strong Wind,0,0,45000
3742,2010,Sonoma,Strong Wind,0,0,10000
3744,2010,Santa Cruz,High Wind,0,0,15000
3745,2010,Yuba,Winter Storm,0,0,0
3746,2010,Sonoma,Strong Wind,1,0,30000
