,YEAR,COUNTY,EVENT_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM
61043,2019,Tuolumne,Thunderstorm Wind,0,0,50000
61045,2019,Inyo,High Wind,0,0,50000
61046,2019,Tuolumne,Hail,0,0,0
61048,2019,Tehama,Winter Weather,0,0,0
61059,2019,San Bernardino,High Wind,0,0,0
61063,2019,San Bernardino,Excessive Heat,0,0,0
61064,2019,San Bernardino,Excessive Heat,0,0,0
61065,2019,Monterey,Wildfire,0,0,0
61066,2019,Riverside,Flash Flood,0,0,2000
61067,2019,Riverside,Flash Flood,0,0,75000
61068,2019,Riverside,Thunderstorm Wind,0,0,10000
61069,2019,Sierra,Thunderstorm Wind,0,0,0
61070,2019,San Bernardino,Excessive Heat,0,0,0
61071,2019,Riverside,Thunderstorm Wind,0,0,0
61072,2019,Sierra,Flash Flood,0,0,2000
61073,2019,San Bernardino,Dust Storm,0,0,0
61074,2019,Riverside,Heavy Rain,0,0,0
61075,2019,Riverside,Flash Flood,0,0,0
61076,2019,Riverside,Flash Flood,0,0,0
61077,2019,Riverside,Heavy Rain,0,0,0
61078,2019,Yuba,Cold/Wind Chill,1,0,0
61079,2019,Sierra,Thunderstorm Wind,0,0,50000
61080,2019,San Bernardino,Excessive Heat,0,0,0
61081,2019,San Bernardino,Excessive Heat,0,0,0
61082,2019,Inyo,Excessive Heat,0,0,0
61090,2019,San Bernardino,Excessive Heat,0,0,0
61093,2019,Siskiyou,Excessive Heat,0,0,0
61094,2019,Siskiyou,Excessive Heat,0,0,0
61095,2019,San Bernardino,Excessive Heat,0,0,0
61096,2019,San Bernardino,Excessive Heat,0,0,0
61097,2019,San Bernardino,Excessive Heat,0,0,0
61098,2019,San Bernardino,Excessive Heat,0,0,0
61100,2019,San Diego,Strong Wind,0,0,2000
61101,2019,Sierra,Wildfire,0,0,0
61102,2019,San Bernardino,Wildfire,0,3,100000
61103,2019,Orange,Excessive Heat,0,0,0
61104,2019,San Bernardino,Excessive Heat,0,0,0
61105,2019,San Bernardino,Wildfire,0,0,0
61106,2019,Yuba,Winter Weather,0,0,0
61107,2019,Lake,Funnel Cloud,0,0,0
61108,2019,Lake,Thunderstorm Wind,0,0,0
61110,2019,San Diego,Excessive Heat,0,0,0
61111,2019,Mono,High Wind,0,0,0
61113,2019,Humboldt,Flood,0,0,0
61116,2019,Tehama,Heavy Rain,0,0,0
61120,2019,Riverside,Excessive Heat,0,0,0
61122,2019,Santa Barbara,High Wind,0,0,0
61123,2019,San Diego,High Wind,0,0,0
61124,2019,Inyo,Wildfire,0,0,100000
61125,2019,Riverside,Heavy Rain,0,0,0
61126,2019,Siskiyou,Wildfire,0,0,0
61127,2019,Tehama,Wildfire,0,0,0
61128,2019,Tehama,Wildfire,0,0,0
61129,2019,Mono,Debris Flow,0,0,0
61130,2019,San Diego,Strong Wind,0,0,2000
61131,2019,Mono,Heavy Rain,0,0,0
61132,2019,Mono,Hail,0,0,0
61133,2019,Modoc,Wildfire,0,0,0
61134,2019,Siskiyou,Wildfire,0,0,0
61135,2019,Tehama,Wildfire,0,0,0
61139,2019,Santa Barbara,High Wind,0,0,0
61144,2019,Inyo,Excessive Heat,0,0,0
61145,2019,San Bernardino,Excessive Heat,0,0,0
61146,2019,San Bernardino,Excessive Heat,0,0,0
61147,2019,San Bernardino,Excessive Heat,0,0,0
61148,2019,San Bernardino,Excessive Heat,0,0,500000
61149,2019,Contra Costa,Wildfire,0,0,5000
61150,2019,Sierra,Flash Flood,0,0,1000
61151,2019,Orange,Dense Fog,0,0,0
61152,2019,Sierra,Thunderstorm Wind,0,0,0
61153,2019,Humboldt,Hail,0,0,0
61154,2019,Humboldt,Hail,0,0,0
61155,2019,Sonoma,Dense Fog,0,0,0
61156,2019,Santa Cruz,Dense Fog,0,0,0
61157,2019,Monterey,Dense Fog,0,0,0
61158,2019,Santa Cruz,Dense Fog,0,0,0
61159,2019,San Benito,Dense Fog,0,0,0
61160,2019,Sierra,Thunderstorm Wind,0,1,10000
61161,2019,San Diego,Dense Fog,0,0,0
61162,2019,San Diego,Excessive Heat,0,0,500000
61163,2019,Riverside,Excessive Heat,0,0,500000
61166,2019,Sierra,Flash Flood,0,0,0
61167,2019,Sierra,Flash Flood,0,0,20000
61168,2019,San Luis Obispo,Heavy Rain,0,0,0
61169,2019,Mendocino,Flash Flood,0,0,0
61170,2019,San Luis Obispo,Lightning,0,1,0
61171,2019,Riverside,Flash Flood,0,0,2000
61172,2019,Santa Barbara,Heavy Rain,0,0,0
61173,2019,Sierra,Flash Flood,0,0,2000
61174,2019,Sierra,Flash Flood,0,0,1000
61175,2019,Sierra,Flash Flood,0,0,5000
61176,2019,Riverside,Excessive Heat,0,0,0
61177,2019,San Bernardino,Excessive Heat,0,0,0
61179,2019,Siskiyou,Wildfire,0,0,0
61180,2019,Siskiyou,Wildfire,0,0,0
61181,2019,Contra Costa,Heat,0,0,0
61183,2019,San Bernardino,Excessive Heat,0,0,0
61184,2019,San Bernardino,Excessive Heat,0,0,0
61185,2019,San Bernardino,Wildfire,0,0,400000
61186,2019,San Diego,Dense Fog,0,0,0
61187,2019,Inyo,Excessive Heat,0,0,0
61188,2019,San Bernardino,Excessive Heat,0,0,0
61189,2019,San Bernardino,Excessive Heat,0,0,0
61190,2019,San Bernardino,Excessive Heat,0,0,0
61191,2019,Riverside,Excessive Heat,0,0,0
61192,2019,Tehama,Heat,0,1,0
61193,2019,San Diego,Excessive Heat,0,0,0
61194,2019,San Bernardino,Excessive Heat,0,0,0
61195,2019,San Diego,Excessive Heat,0,0,0
61196,2019,Tehama,Wildfire,0,3,0
61197,2019,Sierra,Wildfire,0,0,0
61198,2019,Inyo,Excessive Heat,1,0,0
61199,2019,San Bernardino,Excessive Heat,0,0,0
61201,2019,San Bernardino,Excessive Heat,0,0,0
61204,2019,Contra Costa,Heat,0,0,0
61205,2019,Riverside,Excessive Heat,0,0,0
61217,2019,Inyo,Excessive Heat,0,0,0
61218,2019,San Diego,Excessive Heat,0,0,0
61219,2019,San Bernardino,Excessive Heat,0,0,0
61220,2019,San Bernardino,Excessive Heat,0,0,0
61221,2019,San Bernardino,Excessive Heat,0,0,0
61222,2019,San Diego,Excessive Heat,0,0,0
61226,2019,Los Angeles,Debris Flow,0,0,0
61227,2019,Los Angeles,Debris Flow,0,0,0
61229,2019,Siskiyou,Heavy Snow,0,0,0
61230,2019,Placer,Winter Weather,0,0,0
61242,2019,Riverside,Heavy Rain,0,0,0
61244,2019,Mono,Flood,0,0,100000
61245,2019,Modoc,Flood,0,0,0
61248,2019,Tehama,Heavy Snow,0,0,0
61249,2019,Santa Cruz,High Wind,0,0,0
61253,2019,Los Angeles,Debris Flow,0,0,0
61254,2019,Yuba,Flood,0,0,20000
61255,2019,Shasta,Debris Flow,0,0,0
61256,2019,Los Angeles,Flash Flood,0,0,80000
61257,2019,Los Angeles,Flood,0,0,0
61259,2019,Los Angeles,Flood,0,0,0
61261,2019,Modoc,Flood,0,0,0
61264,2019,Riverside,Flash Flood,0,0,0
61269,2019,Trinity,Winter Weather,0,0,0
61270,2019,Trinity,Winter Weather,0,0,0
61271,2019,Humboldt,Winter Weather,0,0,0
61272,2019,Del Norte,Winter Weather,0,0,0
61274,2019,Humboldt,Winter Weather,0,0,0
61275,2019,Mendocino,Winter Weather,0,0,0
61276,2019,Humboldt,Winter Weather,0,0,0
61277,2019,Mendocino,Winter Weather,0,0,0
61278,2019,Del Norte,Winter Weather,0,0,0
61279,2019,Humboldt,Winter Weather,0,0,0
61280,2019,Mendocino,Winter Weather,0,0,0
61281,2019,Humboldt,Winter Weather,0,0,0
61282,2019,Humboldt,Winter Weather,0,0,0
61283,2019,Modoc,Blizzard,0,0,0
61285,2019,Humboldt,Winter Storm,0,0,0
61286,2019,Riverside,Flash Flood,0,0,0
61287,2019,Riverside,Flash Flood,0,0,0
61288,2019,Los Angeles,Flood,0,0,0
61293,2019,Santa Clara,Winter Weather,0,0,0
61294,2019,Santa Clara,Winter Weather,0,0,0
61295,2019,Tuolumne,Debris Flow,0,0,0
61296,2019,Santa Clara,Winter Weather,0,0,0
61297,2019,Ventura,Hail,0,0,0
61298,2019,Santa Cruz,Winter Weather,0,0,0
61299,2019,Santa Cruz,Winter Weather,0,0,0
61300,2019,Modoc,Debris Flow,0,0,0
61301,2019,Contra Costa,Strong Wind,0,0,0
61302,2019,Shasta,Flood,0,0,0
61303,2019,Los Angeles,Flood,0,0,0
61304,2019,Los Angeles,Debris Flow,0,0,0
61305,2019,Contra Costa,Strong Wind,0,0,0
61307,2019,Shasta,Flood,0,0,0
61308,2019,Santa Clara,Strong Wind,0,0,0
61309,2019,Monterey,Strong Wind,0,0,0
61310,2019,Santa Clara,Strong Wind,0,0,0
61311,2019,Monterey,Strong Wind,0,0,0
61312,2019,Los Angeles,Debris Flow,0,0,0
61313,2019,San Benito,Strong Wind,0,0,0
61315,2019,Monterey,Strong Wind,0,0,0
61316,2019,Monterey,Strong Wind,0,0,0
61317,2019,Sonoma,Strong Wind,0,0,0
61318,2019,Yuba,Flood,0,0,0
61319,2019,Trinity,Debris Flow,0,0,0
61320,2019,Mendocino,Flood,0,0,0
61321,2019,Monterey,Strong Wind,0,0,0
61322,2019,Santa Clara,Strong Wind,0,0,0
61323,2019,Monterey,Strong Wind,0,0,0
61329,2019,Siskiyou,High Wind,0,0,0
61330,2019,Santa Clara,Strong Wind,0,0,0
61331,2019,San Bernardino,Flood,0,0,0
61337,2019,Siskiyou,Debris Flow,0,0,0
61339,2019,Modoc,Debris Flow,0,0,0
61341,2019,Santa Cruz,Strong Wind,0,0,0
61342,2019,San Benito,Strong Wind,0,0,0
61343,2019,Monterey,Strong Wind,0,0,3000
61344,2019,Los Angeles,Flood,0,0,0
61345,2019,Mendocino,Winter Weather,0,0,0
61346,2019,Los Angeles,Flood,0,0,0
61347,2019,Monterey,Strong Wind,0,0,0
61348,2019,Monterey,Strong Wind,0,0,0
61349,2019,Monterey,Strong Wind,0,0,0
61350,2019,San Diego,Flood,0,0,0
61353,2019,San Benito,Strong Wind,0,0,0
61354,2019,Monterey,Strong Wind,0,0,5000
61355,2019,Sonoma,Strong Wind,0,0,0
61356,2019,Santa Clara,Strong Wind,0,0,0
61357,2019,Siskiyou,Debris Flow,0,0,0
61358,2019,San Benito,Strong Wind,0,0,0
61359,2019,Monterey,Strong Wind,0,0,0
61360,2019,Monterey,Strong Wind,0,0,0
61361,2019,Los Angeles,Debris Flow,0,0,0
61362,2019,Siskiyou,Debris Flow,0,0,0
61363,2019,San Bernardino,Flood,0,0,0
61365,2019,Santa Cruz,Strong Wind,0,0,0
61366,2019,Los Angeles,Flood,0,0,0
61367,2019,Monterey,Strong Wind,0,0,0
61372,2019,Monterey,Strong Wind,0,1,2000
61373,2019,San Francisco,Strong Wind,0,0,2000
61375,2019,Monterey,High Wind,0,0,0
61376,2019,Monterey,High Wind,0,0,0
61377,2019,San Benito,Strong Wind,0,0,0
61378,2019,Shasta,Flood,0,0,0
61379,2019,Santa Clara,Strong Wind,0,0,0
61382,2019,Siskiyou,Flood,0,0,0
61384,2019,San Bernardino,Debris Flow,0,0,0
61385,2019,Los Angeles,Flood,0,0,0
61386,2019,Humboldt,Winter Weather,0,0,0
61387,2019,Trinity,Winter Weather,0,0,0
61388,2019,Humboldt,Winter Weather,0,0,0
61389,2019,Mendocino,Winter Storm,0,0,0
61390,2019,Humboldt,Winter Weather,0,0,0
61391,2019,Humboldt,Winter Weather,0,0,0
61392,2019,Ventura,Debris Flow,0,0,0
61393,2019,Yuba,Heavy Snow,0,0,1000000
61394,2019,Tehama,Heavy Snow,0,0,0
61395,2019,Humboldt,Winter Weather,0,0,0
61396,2019,Humboldt,Winter Weather,0,0,0
61397,2019,Siskiyou,Heavy Snow,0,0,0
61400,2019,Mendocino,Winter Weather,0,0,0
61401,2019,Humboldt,Winter Storm,0,0,0
61402,2019,Humboldt,Winter Storm,0,0,0
61403,2019,Humboldt,Winter Storm,0,0,0
61404,2019,Humboldt,Winter Weather,0,0,0
61405,2019,Trinity,Winter Weather,0,0,0
61406,2019,Mendocino,Winter Weather,0,0,0
61407,2019,Humboldt,Winter Storm,0,0,0
61408,2019,Modoc,Flood,0,0,0
61415,2019,Modoc,Debris Flow,0,0,0
61416,2019,Ventura,Flood,0,0,0
61419,2019,Humboldt,Winter Weather,0,0,0
61420,2019,San Bernardino,Flood,0,0,0
61421,2019,Trinity,Winter Weather,0,0,0
61422,2019,Trinity,Winter Weather,0,0,0
61423,2019,Mendocino,Winter Weather,0,0,0
61425,2019,Ventura,Flood,0,0,0
61426,2019,Los Angeles,Flood,0,0,0
61428,2019,Santa Barbara,Funnel Cloud,0,0,0
61429,2019,Inyo,Heavy Snow,0,0,0
61433,2019,Monterey,Strong Wind,0,0,0
61434,2019,Monterey,Strong Wind,0,0,0
61435,2019,Los Angeles,Debris Flow,0,0,0
61439,2019,Yuba,Heavy Snow,0,0,0
61441,2019,Tuolumne,Debris Flow,0,0,0
61446,2019,San Benito,Strong Wind,0,0,0
61447,2019,Tuolumne,Flood,0,0,0
61448,2019,Santa Cruz,High Wind,0,0,0
61449,2019,Trinity,Flood,0,0,0
61450,2019,Siskiyou,Heavy Snow,0,0,0
61451,2019,San Francisco,Strong Wind,0,0,0
61452,2019,Tuolumne,Flood,0,0,0
61453,2019,Del Norte,Tornado,0,0,5000
61454,2019,Santa Cruz,Strong Wind,0,0,0
61455,2019,Del Norte,Thunderstorm Wind,0,0,0
61456,2019,Mendocino,Flood,0,0,0
61457,2019,Sierra,Flash Flood,1,0,100000
61460,2019,San Diego,Tornado,0,0,0
61464,2019,Tuolumne,Flood,0,0,0
61465,2019,San Diego,Thunderstorm Wind,0,0,100000
61466,2019,Sonoma,Strong Wind,0,0,0
61467,2019,Santa Barbara,Hail,0,0,1000
61470,2019,Ventura,Flood,0,0,0
61471,2019,Humboldt,Winter Storm,0,0,0
61472,2019,Trinity,Winter Storm,0,0,0
61473,2019,Humboldt,Winter Storm,0,0,0
61474,2019,Humboldt,Winter Storm,0,0,0
61475,2019,Humboldt,Winter Storm,0,0,0
61476,2019,Humboldt,Heavy Snow,0,0,0
61477,2019,Humboldt,Heavy Snow,0,0,0
61478,2019,Humboldt,Winter Weather,0,0,0
61479,2019,Mendocino,Winter Storm,0,0,0
61480,2019,Humboldt,Winter Weather,0,0,0
61481,2019,Siskiyou,Heavy Snow,0,0,0
61482,2019,Del Norte,Winter Weather,0,0,0
61483,2019,Tehama,Heavy Snow,0,0,0
61484,2019,Tehama,Heavy Snow,0,0,0
61485,2019,Yuba,Heavy Snow,0,0,100000
61487,2019,Humboldt,Winter Storm,0,0,0
61488,2019,Humboldt,Winter Storm,0,0,0
61489,2019,Humboldt,Winter Storm,0,0,0
61490,2019,Humboldt,Winter Weather,0,0,0
61491,2019,Mendocino,Winter Weather,0,0,0
61492,2019,Humboldt,Winter Weather,0,0,0
61493,2019,Humboldt,Winter Weather,0,0,0
61494,2019,Mendocino,Winter Weather,0,0,0
61495,2019,Humboldt,Winter Weather,0,0,0
61496,2019,Del Norte,Winter Weather,0,0,0
61497,2019,Trinity,Winter Weather,0,0,0
61498,2019,Humboldt,Winter Storm,0,0,0
61499,2019,Humboldt,Winter Weather,0,0,0
61500,2019,Humboldt,Winter Storm,0,0,0
61501,2019,Humboldt,Winter Storm,0,0,0
61502,2019,Del Norte,Winter Weather,0,0,0
