,Year,County,None,D0,D1,D2,D3,D4,Unnamed: 0,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
58,2010,Alameda County,84.00019231,15.99980769,2.624615385,0,0,0,35,1477980,36.2,69384,33961,165417,11.19210003
59,2010,Alpine County,87.17942308,12.82057692,1.116153846,0,0,0,36,1176,40.9,63478,32159,145,12.32993197
60,2010,Amador County,92.30769231,7.692307692,0,0,0,0,37,38327,47.2,54758,26329,2720,7.096824693
61,2010,Butte County,70.17346154,29.82653846,6.780384615,0.676346154,0,0,38,218635,37.2,43170,23404,39290,17.97059025
62,2010,Calaveras County,93.01,6.99,0,0,0,0,39,45994,48.5,54971,28408,3773,8.203243901
63,2010,Colusa County,60.275,39.725,7.692307692,0,0,0,40,21165,34,48016,21317,3107,14.67989605
64,2010,Contra Costa County,77.24865385,22.75134615,4.66,0,0,0,41,1024809,38.1,78385,37818,91142,8.893559678
65,2010,Del Norte County,92.00076923,7.999230769,0,0,0,0,42,28471,37.9,36118,18974,5526,19.40922342
66,2010,El Dorado County,89.39576923,10.60423077,1.234615385,0,0,0,43,179053,42.6,70000,34393,14003,7.820589434
67,2010,Fresno County,77.33326923,22.66673077,4.1875,0,0,0,44,908830,30.4,46430,20329,200288,22.03800491
68,2010,Glenn County,63.63519231,36.36480769,7.692307692,0.431730769,0,0,45,27935,35.1,43074,19987,4875,17.45122606
69,2010,Humboldt County,91.94288462,8.057115385,0.108076923,0,0,0,46,133058,37.1,40089,24025,22973,17.26540306
70,2010,Imperial County,84.10076923,15.89923077,5.432307692,0,0,0,47,168052,31.6,38685,16395,33784,20.10330136
71,2010,Inyo County,79.11384615,20.88615385,3.118269231,0.527884615,0,0,48,18434,45,44808,26762,2178,11.81512423
72,2010,Kern County,76.75211538,23.24788462,7.666346154,0.358846154,0,0,49,815693,30.6,47089,20100,159967,19.61117724
73,2010,Kings County,60.40230769,39.59769231,7.692307692,0,0,0,50,151122,30.8,48684,17875,25713,17.01472982
74,2010,Lake County,82.54692308,17.45307692,7.354615385,0,0,0,51,64371,44.1,39491,21531,12087,18.77708906
75,2010,Lassen County,1.084230769,98.91576923,92.42653846,37.58634615,0,0,52,35081,37.2,50317,19756,3438,9.800176734
76,2010,Los Angeles County,89.32384615,10.67615385,6.451346154,3.449423077,0,0,53,9758256,34.3,55476,27344,1508618,15.45991415
77,2010,Madera County,86.17884615,13.82115385,2.619615385,0,0,0,54,147738,33.2,46039,18724,26656,18.04275136
78,2010,Marin County,92.30769231,7.692307692,0,0,0,0,55,248601,44,89268,53940,16796,6.756207739
79,2010,Mariposa County,97.70153846,2.298461538,0,0,0,0,56,18290,47.9,49098,27064,2286,12.49863313
80,2010,Mendocino County,90.43423077,9.565769231,1.555576923,0.083076923,0,0,57,87487,41.2,43759,23357,14710,16.81392664
81,2010,Merced County,69.10615385,30.89384615,6.691538462,0,0,0,0,250699,29.3,43844,18041,53738,21.43526699
82,2010,Modoc County,2.369807692,97.63019231,85.33942308,33.09,0,0,1,9605,45.4,34588,20536,1709,17.79281624
83,2010,Mono County,45.15615385,54.84384615,0,0,0,0,2,13905,36.5,55087,27321,1664,11.96691837
84,2010,Monterey County,84.75576923,15.24423077,3.243846154,0,0,0,3,407435,32.8,59271,25776,54276,13.32138869
85,2010,Napa County,79.7425,20.2575,7.686153846,0,0,0,4,134051,39.4,67389,34310,12948,9.659010377
86,2010,Nevada County,75.07038462,24.92961538,4.8725,0,0,0,5,98186,46.8,57121,30727,8740,8.901472715
87,2010,Orange County,90.67076923,9.329230769,6.391730769,0.714230769,0,0,6,2965525,35.7,74344,34017,296846,10.00989707
88,2010,Placer County,80.9075,19.0925,3.902692308,0,0,0,7,336477,39.8,74447,35680,22090,6.565084686
89,2010,Plumas County,26.55557692,73.44442308,49.34923077,4.005576923,0,0,8,20392,48.5,44000,28732,2437,11.95076501
90,2010,Riverside County,85.48730769,14.51269231,7.692307692,0.907692308,0,0,9,2109464,33.4,57768,24431,278358,13.19567435
91,2010,Sacramento County,79.79903846,20.20096154,5.325,0,0,0,10,1395144,34.6,56439,26953,190768,13.67371397
92,2010,San Benito County,66.12884615,33.87115385,6.866923077,0,0,0,11,54492,33.7,65771,25508,6323,11.60353813
93,2010,San Bernardino County,80.41884615,19.58115385,9.770192308,3.757307692,0,0,12,2005287,31.2,55845,21867,291020,14.51263585
94,2010,San Diego County,88.59173077,11.40826923,7.656538462,0,0,0,13,3022468,34.5,63069,30715,361248,11.95208684
95,2010,San Francisco County,92.30769231,7.692307692,0,0,0,0,14,789172,38.3,71304,45478,92600,11.73381722
96,2010,San Joaquin County,69.07903846,30.92096154,7.119230769,0,0,0,15,673613,32.3,54341,22851,105502,15.66210866
97,2010,San Luis Obispo County,76.91230769,23.08769231,5.900961538,0,0,0,16,265577,39,57365,29790,32183,12.11814276
98,2010,San Mateo County,92.30769231,7.692307692,0,0,0,0,17,704327,39,85648,43958,48744,6.920649074
99,2010,Santa Barbara County,90.80230769,9.197692308,2.7725,0,0,0,18,416051,33.6,60078,29731,57463,13.81152791
100,2010,Santa Clara County,85.76115385,14.23884615,2.320769231,0,0,0,19,1739396,35.8,86850,39804,152066,8.742460026
101,2010,Santa Cruz County,92.30769231,7.692307692,0,0,0,0,20,256901,36.6,65253,32862,31445,12.24012363
